source,title,location,price,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud
Casas_iad_inmobiliaria.xlsx,CAMPESTRE-CHURUBUSCO-CASA-VENTA,"Campestre Churubusco, CP 04200, Ciudad de México",10800000.0,4.0,4.0,3.0,312.0,40.0,Coyoacán,CP 04200,19.346188,-99.1356291
Casas_iad_inmobiliaria.xlsx,"Casa en Venta en la colonia Miguel Hidalgo 2a Secc al sur de la CDMX, en Tlalpan","Miguel Hidalgo 2A Sección, CP 14250, Ciudad de México",6500000.0,4.0,3.0,2.0,242.0,25.0,Miguel Hidalgo,"2A Sección, CP 14250",19.4347,-99.2009
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN LINDAVISTA,"Valle del Tepeyac, CP 07740, Ciudad de México",7550000.0,3.0,3.0,3.0,180.0,0.0,Gustavo A. Madero,"Valle del , CP 07740",19.4875,-99.15
Casas_iad_inmobiliaria.xlsx,Se Vende casa en privada  de Cataratas  en las Aguilas,"Ampliación Las Águilas, CP 01759, Ciudad de México",14500000.0,3.0,3.0,3.0,330.0,20.0,Álvaro Obregón,"Ampliación , CP 01759",19.3490912,-99.2200317
Casas_iad_inmobiliaria.xlsx,"Se Vende Casa para Remodelar en Rancho Cosolapan, Coyoacpán, cdmx","Campestre Coyoacán, CP 04938, Ciudad de México",7300000.0,4.0,4.0,4.0,230.0,50.0,Coyoacán,"Campestre , CP 04938",19.3091807,-99.116957
Casas_iad_inmobiliaria.xlsx,¡Venta! Casa con uso de suelo mixto en Ejército Nacional-Anzures,"Anzures, CP 11590, Ciudad de México",18000000.0,4.0,3.0,2.0,393.0,45.0,Miguel Hidalgo,CP 11590,19.4320972,-99.1771646
Casas_iad_inmobiliaria.xlsx,"Venta de Casa en Campestre Churubusco, Coyoacán, CDMX","Campestre Churubusco, CP 04200, Ciudad de México",10550000.0,4.0,4.0,3.0,312.0,11.0,Coyoacán,CP 04200,19.346188,-99.1356291
Casas_iad_inmobiliaria.xlsx,HERMOSA CASA VERTICAL CERCA DEL WTC: 3 NIVELES CON 3 RECAMARAS Y 2 ESTACIONAMIENTOS.,"Del Valle Norte, CP 03103, Ciudad de México",8300000.0,3.0,2.0,2.0,129.0,22.0,Benito Juárez,"Norte, CP 03103",19.3719272,-99.2375604
Casas_iad_inmobiliaria.xlsx,"Venta de Casa en Condominio en Cuitláhuac, Col. Toriello Guerra, Tlalpan, CDMX","Toriello Guerra, CP 14050, Ciudad de México",8000000.0,3.0,3.0,3.0,247.0,20.0,Tlalpan,CP 14050,19.2944916,-99.1628698
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA, AMPLIACION MIGUEL HIDALGO 4A SECC, TLALPAN , CDMX MEXICO","Miguel Hidalgo 4A Sección, CP 14250, Ciudad de México",4500000.0,3.0,2.0,3.0,193.0,18.0,Miguel Hidalgo,"4A Sección, CP 14250",19.4347,-99.2009
Casas_iad_inmobiliaria.xlsx,PRECIOSA CASA EN JARDINES DEL PEDREGAL COYOACAN,"Jardines del Pedregal de San Ángel, CP 04500, Ciudad de México",22000000.0,4.0,4.0,3.0,500.0,30.0,Álvaro Obregón,"Jardines del Pedregal de , CP 04500",19.3067981,-99.1981595
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA EN COYOACAN, CDMX","Santa Úrsula Coapa, CP 04650, Ciudad de México",5650000.0,4.0,3.0,2.0,209.0,0.0,Tlalpan,"Santa Úrsula , CP 04650",19.3089302,-99.1423807
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA COLONIA SAN ANGEL INN SUR CIUDAD DE MEXICO,"San Ángel Inn, CP 01060, Ciudad de México",16400000.0,3.0,3.0,1.0,271.0,60.0,Álvaro Obregón,"Inn, CP 01060",19.3504188,-99.1975317
Casas_iad_inmobiliaria.xlsx,"Casa en condominio en venta, Tlalpan, Miguel Hidalgo 3ra secc.","Miguel Hidalgo 2A Sección, CP 14250, Ciudad de México",4471000.0,3.0,2.0,2.0,238.0,0.0,Miguel Hidalgo,"2A Sección, CP 14250",19.4347,-99.2009
Casas_iad_inmobiliaria.xlsx,"Excelente propiedad en venta en Narvarte, Benito Juarez, Ciudad de México","Narvarte Oriente, CP 03023, Ciudad de México",12949000.0,3.0,2.0,2.0,450.0,30.0,Benito Juárez,"Oriente, CP 03023",19.3932666,-99.1502584
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN IXTLAHUACAN  IZTAPALAPA  CDMX,"Iztlahuacán, CP 09690, Ciudad de México",2300000.0,5.0,2.0,1.0,150.0,23.0,Tláhuac,"Izán, CP 09690",19.2132,-99.0894
Casas_iad_inmobiliaria.xlsx,"Casa en VENTA, en Del Valle Sur, Benito Juárez, CDMX.","Del Valle Sur, CP 03104, Ciudad de México",10500000.0,4.0,3.0,1.0,218.0,48.0,Benito Juárez,"Sur, CP 03104",19.3863183,-99.1736673
Casas_iad_inmobiliaria.xlsx,Casa en Venta en la Colonia del Valle,"Del Valle Centro, CP 03100, Ciudad de México",10700000.0,3.0,3.0,2.0,242.0,6.0,Benito Juárez,"Centro, CP 03100",19.387036,-99.1712797
Casas_iad_inmobiliaria.xlsx,Casa en venta Jardines de Coyoacan,"Jardines de Coyoacán, CP 04890, Ciudad de México",9000000.0,4.0,5.0,2.0,450.0,0.0,Coyoacán,"Jardines de , CP 04890",19.3141139,-99.1268723
Casas_iad_inmobiliaria.xlsx,"Casa Venta Condominio horizontal. Tlalpan, calle Corregidora","Miguel Hidalgo 2A Sección, CP 14250, Ciudad de México",6500000.0,3.0,2.0,2.0,235.0,30.0,Miguel Hidalgo,"2A Sección, CP 14250",19.4347,-99.2009
Casas_iad_inmobiliaria.xlsx,Se vende casa para remodelar en Monte Libano,"Lomas de Chapultepec VIII Sección, CP 11000, Ciudad de México",50505000.0,3.0,5.0,4.0,980.0,60.0,Miguel Hidalgo,"VIII Sección, CP 11000",19.345,-99.1794
Casas_iad_inmobiliaria.xlsx,Venta Casa en Condominio Horizontal. Tlalpan,"Miguel Hidalgo 2A Sección, CP 14250, Ciudad de México",6300000.0,3.0,2.0,2.0,198.0,12.0,Miguel Hidalgo,"2A Sección, CP 14250",19.4347,-99.2009
Casas_iad_inmobiliaria.xlsx,VENTA DE CASA EN CONDOMINIO TLALPAN,"Miguel Hidalgo 2A Sección, CP 14250, Ciudad de México",6990000.0,3.0,2.0,6.0,431.0,16.0,Miguel Hidalgo,"2A Sección, CP 14250",19.4347,-99.2009
Casas_iad_inmobiliaria.xlsx,Departamento  en Pre Venta  Col. Roma CDMX,"Roma Norte, CP 06700, Ciudad de México",3333000.0,2.0,3.0,2.0,39.0,0.0,Cuauhtémoc,CP 06700,19.4183227,-99.1625655
Casas_iad_inmobiliaria.xlsx,"Casa en venta en San Ángel, Álvaro Obregón, Ciudad de México.","San Ángel, CP 01000, Ciudad de México",19000000.0,2.0,2.0,2.0,189.0,5.0,Álvaro Obregón,CP 01000,19.3443673,-99.1924473
Casas_iad_inmobiliaria.xlsx,"RESIDENCIA DE LUJO EN VENTA EN JARDINES DEL PEDREGAL - ÁLVARO OBREGÓN, CDMX","Jardines del Pedregal, CP 01900, Ciudad de México",59900000.0,4.0,3.0,12.0,1275.0,5.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,"Casa en venta en Jardines del Pedregal, Alvaro Obregon, CDMX","Jardines del Pedregal, CP 01900, Ciudad de México",28500000.0,4.0,5.0,3.0,792.0,30.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,"LUJOSA RESIDENCIA EN JARDINES DEL PEDREGAL - ÁLVARO OBREGÓN, CDMX","Jardines del Pedregal, CP 01900, Ciudad de México",37990000.0,4.0,4.0,9.0,1000.0,28.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,Venta de Casa en Campestre Coyoacán,"Campestre Churubusco, CP 04200, Ciudad de México",8800000.0,3.0,2.0,2.0,203.0,15.0,Coyoacán,CP 04200,19.346188,-99.1356291
Casas_iad_inmobiliaria.xlsx,Casa en venta en la alcaldia de Tlalpan,"Toriello Guerra, CP 14050, Ciudad de México",9000000.0,5.0,5.0,2.0,312.0,50.0,Tlalpan,CP 14050,19.2944916,-99.1628698
Casas_iad_inmobiliaria.xlsx,"Casa en Venta en Lomas de Vista Hermosa, Cuajimalpa","Lomas de Vista Hermosa, CP 05100, Ciudad de México",12400000.0,3.0,3.0,3.0,400.0,25.0,Cuajimalpa de Morelos,CP 05100,19.3769798,-99.2751709
Casas_iad_inmobiliaria.xlsx,Residencia Av. de las fuentes Pedregal,"Jardines del Pedregal de San Ángel, CP 04500, Ciudad de México",35997000.0,4.0,3.0,5.0,1050.0,35.0,Álvaro Obregón,"Jardines del Pedregal de , CP 04500",19.3067981,-99.1981595
Casas_iad_inmobiliaria.xlsx,EX HACIENDA COAPA TENORIOS VENTA DE CASA,"Ex Hacienda Coapa, CP 14308, Ciudad de México",7850000.0,3.0,3.0,4.0,182.0,30.0,Tlalpan,"Ex Hacienda , CP 14308",19.4183,-99.1263
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA CUAJIMALPA CDMX,"Cuajimalpa, CP 05000, Ciudad de México",4600000.0,3.0,3.0,2.0,130.0,30.0,Cuajimalpa de Morelos,CP 05000,19.3572429,-99.2996246
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN NARVARTE ORIENTE,"Narvarte Poniente, CP 03020, Ciudad de México",10795000.0,3.0,3.0,3.0,187.0,60.0,Benito Juárez,"Poniente, CP 03020",19.3922258,-99.1577068
Casas_iad_inmobiliaria.xlsx,Casa en Venta en Polanco,"Polanco II Sección, CP 11530, Ciudad de México",39700000.0,3.0,2.0,4.0,303.0,50.0,Miguel Hidalgo,"II Sección, CP 11530",19.345,-99.1794
Casas_iad_inmobiliaria.xlsx,VENTA CASA LOMAS DE CHAPULTEPEC,"Lomas de Chapultepec II Sección, CP 11000, Ciudad de México",36630000.0,3.0,3.0,5.0,593.0,30.0,Miguel Hidalgo,"II Sección, CP 11000",19.345,-99.1794
Casas_iad_inmobiliaria.xlsx,"Vendo Casa con Terraza en Lomas de las Aguilas, Alvaro Obregón  CDMX","Lomas de las Águilas, CP 01730, Ciudad de México",7800000.0,2.0,2.0,2.0,243.0,4.0,Álvaro Obregón,"Lomas de , CP 01730",19.3667,-99.2
Casas_iad_inmobiliaria.xlsx,Residencia bello jardin San Angel INN,"San Ángel Inn, CP 01060, Ciudad de México",36997000.0,3.0,3.0,3.0,480.0,6.0,Álvaro Obregón,"Inn, CP 01060",19.3504188,-99.1975317
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA EN TORIELLO GUERRA - TLALPAN, CDMX","Toriello Guerra, CP 14050, Ciudad de México",9950000.0,2.0,2.0,3.0,308.0,45.0,Tlalpan,CP 14050,19.2944916,-99.1628698
