source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url
mercadolibre_rentas,Departamento en Renta,"Roma Norte, Cuauhtémoc, Distrito Federal",47000.0,2,2,1,107.0,30.0,Cuauhtémoc,Roma Norte,19.4183227,-99.1625655,https://departamento.mercadolibre.com.mx/MLM-5360846582-renta-departamento-en-la-roma-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Hipódromo, Cuauhtémoc, Distrito Federal",59000.0,3,2,2,190.0,30.0,Cuauhtémoc,Hipódromo,19.4093714,-99.1712126,https://departamento.mercadolibre.com.mx/MLM-2940825799-renta-depto-condesa-con-balcon-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Yosemite, Nápoles, Ciudad De México, Nápoles, Benito Juárez, Distrito Federal",37500.0,3,3,2,125.0,30.0,Nápoles,Yosemite,19.3964758,-99.1733421,https://departamento.mercadolibre.com.mx/MLM-2806496705-rento-departamento-amueblado-tres-recamaras-col-napoles-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Polanco, Miguel Hidalgo, Distrito Federal",10000.0,3,4,2,400.0,30.0,Miguel Hidalgo,Polanco,19.43353,-99.190915,https://departamento.mercadolibre.com.mx/MLM-5235525462-departamento-ph-en-renta-torre-nivada-polanco-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Carr. México - Toluca 5860, Contadero, Ciudad De México, Contadero, Cuajimalpa De Morelos, Distrito Federal",36000.0,3,2,1,121.0,30.0,Contadero,Carr. México - Toluca 5860,19.3465983,-99.2993588,https://departamento.mercadolibre.com.mx/MLM-5351945748-rento-departamento-stampa-contadero-3rec-semiamueblado-amenidades-de-lujo-vive-en-un-resort-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Polanco, Miguel Hidalgo, Distrito Federal",75000.0,2,2,2,156.0,30.0,Miguel Hidalgo,Polanco,19.43353,-99.190915,https://departamento.mercadolibre.com.mx/MLM-2788153335-departamento-amueblado-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Av. Cuauhtémoc 600 - 900 B, Narvarte Poniente, Ciudad De México, Narvarte, Benito Juárez, Distrito Federal",19500.0,3,2,1,97.0,30.0,Narvarte Poniente,Av. Cuauhtémoc 600 - 900 B,19.3905208,-99.1579016,https://departamento.mercadolibre.com.mx/MLM-5360864436-departamento-de-3-habitaciones-en-narvarte-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Hegel 140, Polanco, Granada, Ciudad De México, Polanco, Miguel Hidalgo, Distrito Federal",45000.0,2,2,1,120.0,30.0,Polanco,Hegel 140,19.4335653,-99.1880639,https://departamento.mercadolibre.com.mx/MLM-2937056055-renta-de-departamento-polanco-amueblado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Lomas De Los Angeles Del Pueblo Tetelpan, Alvaro Obregón, Distrito Federal",25000.0,2,2,1,119.0,30.0,Álvaro Obregón,Lomas De Los Angeles Del Pueblo Tetelpan,19.3906515,-99.1952423,https://departamento.mercadolibre.com.mx/MLM-5363879710-departamento-exterior-101-en-renta-desierto-de-los-leones-alvaro-obregon-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Del Valle Sur, Benito Juárez, Distrito Federal",60000.0,3,4,2,158.0,30.0,Benito Juárez,Del Valle Sur,19.3890898,-99.1743711,https://departamento.mercadolibre.com.mx/MLM-2941406237-departamento-en-renta-en-del-valle-sur-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
