source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url
rentola_rentas,Departamento en Renta,"Calle José María Lafragua 16, Tabacalera, 06030 Mexico City, CMX, Mexico",2500.0,2,0,1,26.0,30.0,Tabacalera,Tabacalera,19.4369782,-99.1533294,https://rentola.mx/listings/lafragua-departamento-en-renta-amueblado-pb71c15
rentola_rentas,Departamento en Renta,"Pemex, Calle Veracruz 50, Condesa, 06700 Mexico City, CMX, Mexico",4200.0,2,0,1,50.0,30.0,Condesa,Calle Veracruz 50,19.4179354,-99.1744155,https://rentola.mx/listings/departamentos-de-lujo-amueblados-en-calle-veracruz-edificio-art-deco-p64a6ab
rentola_rentas,Departamento en Renta,"Calle Valparaíso 2432, Jardines de Providencia, 45170 Guadalajara, JAL, Mexico",2800.0,2,0,1,25.0,30.0,45170 Guadalajara,Jardines de Providencia,19.2863585,-99.1850116,https://rentola.mx/listings/departamento-en-renta-providencia-guadalajara-guadalajara-jalisco-p6dc30b
rentola_rentas,Departamento en Renta,"unnamed road, Tacubaya, 11870 Mexico City, CMX, Mexico",3200.0,1,0,0,291.0,30.0,No Identificada,Tacubaya,19.4326,-99.1332,https://rentola.mx/listings/habitacion-amueblada-p447291
rentola_rentas,Departamento en Renta,"Calle Concordia, Las Lomas Independencia, 44300 Guadalajara, JAL, Mexico",11000.0,4,0,0,73.0,30.0,44300 Guadalajara,Las Lomas Independencia,19.2863585,-99.1850116,https://rentola.mx/listings/casa-en-renta-la-federacha-guadalajara-jalisco-pb74222
rentola_rentas,Departamento en Renta,"Avenida Morelos, Jardín Balbuena, 15900 Mexico City, CMX, Mexico",7200.0,3,0,1,112.0,30.0,No Identificada,Jardín Balbuena,19.4083054,-99.1090475,https://rentola.mx/listings/departamento-en-renta-jardin-balbuena-pc6d2c3
rentola_rentas,Departamento en Renta,"Guadalajara, Jalisco, Mexico",5100.0,1,0,1,100.0,30.0,Guadalajara,Jalisco,19.2863585,-99.1850116,https://rentola.mx/listings/casa-en-renta-col-jardines-del-sur-guadalajara-jal-dv-exahg-pabb760
rentola_rentas,Departamento en Renta,"Cuidado con el Perro, Calle Colomos 1133, Providencia 2a Sección, 44648 Guadalajara, JAL, Mexico",8000.0,1,0,1,71.0,30.0,44648 Guadalajara,Calle Colomos 1133,19.2863585,-99.1850116,https://rentola.mx/listings/departamento-en-renta-circunvalacion-americas-guadalajara-jalisco-pb7ed89
rentola_rentas,Departamento en Renta,"Calle Pedro Castera, Santa Tere, 44600 Guadalajara, JAL, Mexico",10300.0,3,0,1,69.0,30.0,44600 Guadalajara,Santa Tere,19.2863585,-99.1850116,https://rentola.mx/listings/casa-en-renta-colonia-ladron-de-guevara-guadalajara-jalisco-p5cb3d2
rentola_rentas,Departamento en Renta,"Calle Alfredo Tennyson, Polanco 4ª Sección, 11550 Mexico City, CMX, Mexico",3300.0,2,0,1,22.0,30.0,Polanco,Polanco 4ª Sección,19.4315938,-99.1935327,https://rentola.mx/listings/departamento-en-2-niveles-amueblado-equipado-a-media-cuadra-del-parque-lincoln-p2953bb
