precio_mxn,publicado_reciente,tipo_inmueble,recamaras,banos,m2,ubicacion,colonia,url,latitud,longitud
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5390330888-hermoso-departamento-en-venta-en-sara-towers-de-3-recamaras-y-2-banos-comodo-y-bien-iluminado-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4833606036-casa-con-potencial-residencial-y-comercial-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-4965643814-casa-en-venta-en-lindavista-norte-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2817912093-residencia-en-venta-remodelada-y-lista-para-habitar-lindavista-norte-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2792149385-casa-en-venta-en-industrial-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4995492040-departamento-en-venta-en-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5225283468-casa-en-venta-en-vallejo-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4995470604-departamento-en-venta-en-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2902831841-casa-en-venta-en-lindavista-norte-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2798063013-excelentes-departamentos-nuevos-av-acueducto-preventa-2-y-3-recamaras-balcon-muy-buena-ubicacion-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2776038787-casa-en-venta-en-torres-lindavista-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2831523237-sara-towers-guadalupe-tepeyac-departamento-3-recamaras-bastante-luminoso-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4761769620-departamento-en-venta-en-tablas-de-san-agustin-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2784668511-departamento-en-venta-en-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4971136862-departamento-en-venta-san-juan-de-aragon-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-3876924578-amplia-casa-en-zona-escolar-oriente-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4995472436-departamento-en-venta-en-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2847955771-bonito-departamento-excelente-ubicacion-en-frente-de-la-central-camionera-del-norte-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4995492710-departamento-en-venta-en-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4995505478-departamento-en-venta-en-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-3829176052-departamentos-en-venta-en-aragon-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2737583677-departamento-en-venta-en-lindavista-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2576516229-bodega-en-venta-en-alcaldia-gustavo-a-madero-acueducto-de-guadalupe-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2814397363-oficina-en-renta-en-nueva-industrial-vallejo-gustavo-a-madero-cdmx-_JM,,
