entidad,nom_mun,nom_loc,longitud,latitud,pobtot,p18ym_pb,vph_inter,vph_pc,vph_autom,vph_telef,vph_lavad,vph_snbien,graproes,pea,prom_ocup,pder_ss,nom_mun_norm,pct_internet,pct_educ_sup
9,Total del Distrito Federal,Total de la Entidad,,,8851080,3394773.0,936648.0,1171631.0,1110374.0,1715772.0,1854623.0,6250.0,10.54,4035075.0,3.6,5644901.0,TOTAL DEL DISTRITO FEDERAL,10.58230182079475,38.35433641996231
9,Total del Distrito Federal,Localidades de una vivienda,,,219,48.0,6.0,11.0,21.0,13.0,25.0,3.0,0.0,102.0,0.0,94.0,TOTAL DEL DISTRITO FEDERAL,2.73972602739726,21.91780821917808
9,Total del Distrito Federal,Localidades de dos viviendas,,,340,71.0,7.0,17.0,52.0,23.0,40.0,3.0,0.0,145.0,0.0,152.0,TOTAL DEL DISTRITO FEDERAL,2.0588235294117645,20.88235294117647
9,Azcapotzalco,Total del Municipio,,,414711,174295.0,47225.0,60003.0,52913.0,86750.0,93517.0,147.0,10.8,187402.0,3.55,301040.0,AZCAPOTZALCO,11.387448126526666,42.02806291610302
9,Azcapotzalco,Azcapotzalco,-99.18333333333334,19.482777777777777,414711,174295.0,47225.0,60003.0,52913.0,86750.0,93517.0,147.0,10.8,187402.0,3.55,301040.0,AZCAPOTZALCO,11.387448126526666,42.02806291610302
9,Coyoacán,Total del Municipio,,,620416,296210.0,90947.0,106537.0,100606.0,141149.0,144710.0,247.0,11.66,286899.0,3.44,411833.0,COYOACAN,14.659035227976066,47.743771920775735
9,Coyoacán,Coyoacán,-99.16166666666668,19.35,620416,296210.0,90947.0,106537.0,100606.0,141149.0,144710.0,247.0,11.66,286899.0,3.44,411833.0,COYOACAN,14.659035227976066,47.743771920775735
9,Cuajimalpa de Morelos,Total del Municipio,,,186391,63588.0,20272.0,23754.0,24540.0,33291.0,36004.0,131.0,10.22,84664.0,3.92,123175.0,CUAJIMALPA DE MORELOS,10.876061612416908,34.115381107456905
9,Cuajimalpa de Morelos,Cuajimalpa de Morelos,-99.28472222222221,19.374444444444446,160491,57278.0,18863.0,21756.0,22205.0,29708.0,31722.0,110.0,10.42,73367.0,3.88,106287.0,CUAJIMALPA DE MORELOS,11.753307039023996,35.689228679489815
9,Cuajimalpa de Morelos,Cruz Blanca,-99.32333333333332,19.31833333333333,581,83.0,15.0,26.0,35.0,46.0,75.0,0.0,7.69,265.0,4.24,336.0,CUAJIMALPA DE MORELOS,2.5817555938037864,14.285714285714285
9,Cuajimalpa de Morelos,San Lorenzo Acopilco,-99.32555555555555,19.328888888888887,23037,5827.0,1301.0,1836.0,2093.0,3293.0,3873.0,15.0,9.17,10061.0,4.19,15293.0,CUAJIMALPA DE MORELOS,5.647436732213396,25.294092112688283
9,Cuajimalpa de Morelos,La Venta,-99.31055555555555,19.334722222222222,531,113.0,37.0,45.0,51.0,83.0,92.0,0.0,8.78,229.0,4.32,333.0,CUAJIMALPA DE MORELOS,6.96798493408663,21.28060263653484
9,Cuajimalpa de Morelos,Puerto las Cruces (Monte las Cruces),-99.34805555555555,19.295833333333334,444,95.0,4.0,15.0,43.0,2.0,59.0,3.0,8.63,194.0,4.11,215.0,CUAJIMALPA DE MORELOS,0.9009009009009009,21.396396396396398
9,Cuajimalpa de Morelos,Teopazulco,-99.32416666666666,19.34638888888889,12,3.0,0.0,0.0,2.0,0.0,1.0,0.0,8.13,6.0,3.0,3.0,CUAJIMALPA DE MORELOS,0.0,25.0
9,Cuajimalpa de Morelos,Prolongación Constitución,-99.32666666666667,19.351944444444445,18,2.0,0.0,0.0,2.0,1.0,3.0,0.0,7.0,5.0,6.0,12.0,CUAJIMALPA DE MORELOS,0.0,11.11111111111111
9,Cuajimalpa de Morelos,Paraje Río Borracho,-99.32833333333333,19.35138888888889,51,10.0,1.0,1.0,2.0,7.0,5.0,1.0,7.82,19.0,4.64,12.0,CUAJIMALPA DE MORELOS,1.9607843137254901,19.607843137254903
9,Cuajimalpa de Morelos,La Bolsa (El Encinal),-99.30194444444444,19.338055555555556,17,7.0,4.0,5.0,5.0,4.0,5.0,0.0,11.5,8.0,3.4,17.0,CUAJIMALPA DE MORELOS,23.52941176470588,41.17647058823529
9,Cuajimalpa de Morelos,Rancho los Campesinos,-99.34416666666667,19.30388888888889,22,6.0,1.0,2.0,5.0,4.0,4.0,0.0,8.89,11.0,3.14,5.0,CUAJIMALPA DE MORELOS,4.545454545454546,27.27272727272727
9,Cuajimalpa de Morelos,Santa Rosa,-99.29638888888888,19.323055555555555,518,64.0,17.0,25.0,37.0,59.0,63.0,0.0,7.36,238.0,4.5,296.0,CUAJIMALPA DE MORELOS,3.2818532818532815,12.355212355212355
9,Cuajimalpa de Morelos,Paraje Cerro de los Padres,-99.31666666666666,19.363055555555558,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUAJIMALPA DE MORELOS,0.0,0.0
9,Cuajimalpa de Morelos,El Boji (San Jacinto),-99.31861111111111,19.363611111111112,51,4.0,0.0,1.0,6.0,4.0,5.0,1.0,7.68,23.0,3.64,30.0,CUAJIMALPA DE MORELOS,0.0,7.8431372549019605
9,Cuajimalpa de Morelos,Rancho Santa Laura,-99.32055555555556,19.343055555555555,61,28.0,11.0,12.0,16.0,16.0,16.0,0.0,12.0,25.0,3.81,49.0,CUAJIMALPA DE MORELOS,18.0327868852459,45.90163934426229
9,Cuajimalpa de Morelos,La Papa [Escuela Niños Héroes],-99.31277777777777,19.345,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUAJIMALPA DE MORELOS,0.0,0.0
9,Cuajimalpa de Morelos,La Troje,-99.31833333333333,19.326944444444443,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUAJIMALPA DE MORELOS,0.0,0.0
9,Cuajimalpa de Morelos,Punta Galicia,-99.30333333333333,19.374166666666667,387,54.0,17.0,26.0,33.0,51.0,64.0,1.0,8.23,152.0,4.0,208.0,CUAJIMALPA DE MORELOS,4.3927648578811365,13.953488372093023
9,Cuajimalpa de Morelos,Ninguno,-99.33916666666666,19.302777777777777,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUAJIMALPA DE MORELOS,0.0,0.0
9,Cuajimalpa de Morelos,Santiago Yacuitlalpan,-99.30499999999999,19.37527777777778,75,6.0,0.0,3.0,4.0,6.0,9.0,0.0,6.95,29.0,3.71,33.0,CUAJIMALPA DE MORELOS,0.0,8.0
9,Cuajimalpa de Morelos,Punta Ahuatenco,-99.30555555555556,19.368055555555557,65,4.0,0.0,0.0,0.0,5.0,6.0,0.0,6.2,26.0,4.64,35.0,CUAJIMALPA DE MORELOS,0.0,6.153846153846154
9,Cuajimalpa de Morelos,Localidades de una vivienda,,,30,4.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,11.0,CUAJIMALPA DE MORELOS,3.3333333333333335,13.333333333333334
9,Gustavo A. Madero,Total del Municipio,,,1185772,437147.0,104847.0,138195.0,133434.0,220650.0,243385.0,830.0,10.23,526179.0,3.66,803418.0,GUSTAVO A. MADERO,8.842087686334303,36.86602483445384
9,Gustavo A. Madero,Gustavo A. Madero,-99.1125,19.48222222222222,1185772,437147.0,104847.0,138195.0,133434.0,220650.0,243385.0,830.0,10.23,526179.0,3.66,803418.0,GUSTAVO A. MADERO,8.842087686334303,36.86602483445384
9,Iztacalco,Total del Municipio,,,384326,151789.0,38156.0,49516.0,44922.0,74567.0,80936.0,142.0,10.5,175316.0,3.69,249671.0,IZTACALCO,9.928029849658882,39.49485592960143
9,Iztacalco,Iztacalco,-99.09777777777778,19.39527777777778,384326,151789.0,38156.0,49516.0,44922.0,74567.0,80936.0,142.0,10.5,175316.0,3.69,249671.0,IZTACALCO,9.928029849658882,39.49485592960143
9,Iztapalapa,Total del Municipio,,,1815786,556751.0,127586.0,174787.0,176920.0,295861.0,334649.0,1654.0,9.61,792297.0,3.91,1096323.0,IZTAPALAPA,7.026488804297423,30.661707932542708
9,Iztapalapa,Iztapalapa,-99.09305555555555,19.358333333333334,1815786,556751.0,127586.0,174787.0,176920.0,295861.0,334649.0,1654.0,9.61,792297.0,3.91,1096323.0,IZTAPALAPA,7.026488804297423,30.661707932542708
9,La Magdalena Contreras,Total del Municipio,,,239086,79124.0,22543.0,28507.0,28601.0,44163.0,48266.0,160.0,9.93,108000.0,3.78,156569.0,LA MAGDALENA CONTRERAS,9.428824774348978,33.09436771705579
9,La Magdalena Contreras,La Magdalena Contreras,-99.21388888888889,19.333333333333332,238431,79041.0,22539.0,28488.0,28545.0,44112.0,48201.0,158.0,9.94,107742.0,3.78,156205.0,LA MAGDALENA CONTRERAS,9.45304930986323,33.150471205505994
9,La Magdalena Contreras,Paraje las Llantas,-99.24555555555555,19.253333333333334,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA MAGDALENA CONTRERAS,0.0,0.0
9,La Magdalena Contreras,Segundo Dinamo,-99.27388888888889,19.283055555555556,21,4.0,0.0,0.0,4.0,3.0,0.0,1.0,7.13,11.0,3.5,12.0,LA MAGDALENA CONTRERAS,0.0,19.047619047619047
9,La Magdalena Contreras,El Gavillero,-99.24805555555555,19.286944444444448,305,31.0,1.0,5.0,21.0,33.0,35.0,0.0,6.7,110.0,4.36,207.0,LA MAGDALENA CONTRERAS,0.32786885245901637,10.163934426229508
9,La Magdalena Contreras,Totolapa,-99.24416666666667,19.280833333333334,121,18.0,1.0,5.0,12.0,3.0,13.0,0.0,6.8,45.0,4.17,46.0,LA MAGDALENA CONTRERAS,0.8264462809917356,14.87603305785124
9,La Magdalena Contreras,Paraje el Rancho,-99.25416666666666,19.2925,23,2.0,1.0,1.0,3.0,3.0,1.0,0.0,7.29,11.0,4.6,13.0,LA MAGDALENA CONTRERAS,4.3478260869565215,8.695652173913043
