entidad,nom_mun,nom_loc,longitud,latitud,pobtot,p18ym_pb,vph_inter,vph_pc,vph_autom,vph_telef,vph_lavad,vph_snbien,graproes,pea,prom_ocup,pder_ss,pct_internet,pct_educ_sup
9,Azcapotzalco,Azcapotzalco,-99.18436055555556,19.484102777777778,432205,234812.0,105899.0,86856.0,64567.0,96128.0,115721.0,188.0,11.91,239069.0,3.21,341302.0,24.502030286553833,54.328848578799416
9,Coyoacán,Coyoacán,-99.16214555555555,19.35021388888889,614447,361934.0,157908.0,133587.0,109429.0,145013.0,167211.0,268.0,12.51,340527.0,3.2,452819.0,25.699205952669637,58.90402264149716
9,Cuajimalpa de Morelos,Cuajimalpa de Morelos,-99.29979222222222,19.35735027777778,186693,88656.0,41641.0,34265.0,30619.0,37799.0,44970.0,71.0,11.69,103429.0,3.55,142320.0,22.30453203923018,47.48758657260851
9,Cuajimalpa de Morelos,Cruz Blanca,-99.32401027777777,19.317785,728,183.0,86.0,62.0,47.0,75.0,143.0,2.0,8.97,353.0,3.79,553.0,11.813186813186812,25.137362637362635
9,Cuajimalpa de Morelos,San Lorenzo Acopilco,-99.32568166666667,19.33100472222222,26042,8820.0,4188.0,3027.0,2609.0,3903.0,5286.0,18.0,9.96,13456.0,3.93,18755.0,16.08171415405883,33.86836648490899
9,Cuajimalpa de Morelos,La Venta,-99.31021277777778,19.334375555555553,486,161.0,84.0,52.0,53.0,78.0,99.0,1.0,9.67,279.0,3.92,331.0,17.28395061728395,33.1275720164609
9,Cuajimalpa de Morelos,Puerto las Cruces (Monte las Cruces),-99.34762111111111,19.294861111111114,1233,325.0,125.0,110.0,103.0,98.0,210.0,0.0,9.53,697.0,3.82,815.0,10.137875101378752,26.35847526358475
9,Cuajimalpa de Morelos,Teopazulco,-99.32311527777777,19.345925833333332,80,21.0,4.0,4.0,3.0,3.0,10.0,0.0,9.02,40.0,3.48,59.0,5.0,26.25
9,Cuajimalpa de Morelos,Valle de las Monjas,-99.29324222222222,19.33856361111111,108,27.0,8.0,6.0,10.0,6.0,11.0,0.0,9.24,57.0,3.38,86.0,7.4074074074074066,25.0
9,Cuajimalpa de Morelos,Prolongación Constitución,-99.32667194444444,19.352650555555556,131,49.0,15.0,11.0,8.0,18.0,21.0,0.0,10.26,70.0,4.09,82.0,11.450381679389313,37.404580152671755
9,Cuajimalpa de Morelos,Paraje Río Borracho,-99.32823666666667,19.349437777777776,80,25.0,9.0,7.0,8.0,10.0,15.0,0.0,9.36,46.0,3.81,43.0,11.25,31.25
9,Cuajimalpa de Morelos,El Zarco,-99.35439138888889,19.293255000000002,24,11.0,8.0,5.0,3.0,3.0,8.0,0.0,9.9,17.0,2.67,12.0,33.33333333333333,45.83333333333333
9,Cuajimalpa de Morelos,La Bolsa (El Encinal),-99.30174055555555,19.33900222222222,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cuajimalpa de Morelos,Los Campesinos [Rancho],-99.34466277777777,19.30500027777778,29,6.0,4.0,2.0,3.0,3.0,5.0,0.0,8.65,13.0,5.8,18.0,13.793103448275861,20.689655172413794
9,Cuajimalpa de Morelos,Santa Rosa,-99.29508055555556,19.323321944444444,818,121.0,89.0,31.0,38.0,73.0,114.0,2.0,8.03,378.0,4.01,412.0,10.880195599022006,14.792176039119804
9,Cuajimalpa de Morelos,Paraje Cerro de los Padres,-99.31697777777778,19.364181666666667,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cuajimalpa de Morelos,Santa Laura [Rancho],-99.31948277777778,19.343551666666666,38,35.0,14.0,14.0,13.0,14.0,13.0,0.0,15.32,31.0,2.71,33.0,36.84210526315789,92.10526315789474
9,Cuajimalpa de Morelos,La Papa [Escuela Niños Héroes],-99.31282611111111,19.345220277777777,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cuajimalpa de Morelos,Punta Galicia,-99.3033725,19.374896666666668,438,155.0,54.0,47.0,49.0,38.0,82.0,1.0,9.95,262.0,3.68,277.0,12.32876712328767,35.38812785388128
9,Cuajimalpa de Morelos,Cola de Pato,-99.33995833333333,19.30384,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cuajimalpa de Morelos,Los Aguacates,-99.31073194444444,19.369901944444447,514,110.0,38.0,33.0,40.0,22.0,78.0,1.0,8.55,266.0,3.98,286.0,7.392996108949417,21.40077821011673
9,Cuajimalpa de Morelos,Punta Ahuatenco,-99.30580083333334,19.36803,173,41.0,20.0,13.0,18.0,18.0,30.0,0.0,8.73,82.0,4.02,95.0,11.560693641618498,23.699421965317917
9,Cuajimalpa de Morelos,Los Laureles [Rancho],-99.30203833333333,19.331581944444444,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Cuajimalpa de Morelos,Coatzehuaya,-99.32536305555556,19.350028611111114,28,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.44,10.0,5.6,17.0,0.0,3.571428571428571
9,Cuajimalpa de Morelos,La Loma,-99.33529305555555,19.32278472222222,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
