año,valor
31/01/2012,3540.8
29/02/2012,4212.5
31/03/2012,5060.3
30/04/2012,4850.9
31/05/2012,4229
30/06/2012,4776.7
31/07/2012,5034.2
31/08/2012,4952.2
30/09/2012,5284.6
31/10/2012,4999
30/11/2012,4570.9
31/12/2012,4642.8
31/01/2013,4188.8
28/02/2013,4684.8
31/03/2013,5372.6
30/04/2013,4347.8
31/05/2013,4802
30/06/2013,4467.8
31/07/2013,4652.1
31/08/2013,4535.1
30/09/2013,4995.6
31/10/2013,5358.4
30/11/2013,6671.8
31/12/2013,5013.8
31/01/2014,4973
28/02/2014,4811.2
31/03/2014,5164.5
30/04/2014,5432
31/05/2014,5331.6
30/06/2014,5526.2
31/07/2014,5326.9
31/08/2014,5779.9
30/09/2014,5648.8
31/10/2014,6583.7
30/11/2014,6545.2
31/12/2014,6751.4
31/01/2015,5112.4
28/02/2015,6362.6
31/03/2015,6045.6
30/04/2015,6806.7
31/05/2015,5625
30/06/2015,6050.2
31/07/2015,6179.1
31/08/2015,6479.5
30/09/2015,6066.5
31/10/2015,6638.3
30/11/2015,6362.6
31/12/2015,6647.1
31/01/2016,5928.7
29/02/2016,5763.5
31/03/2016,7483.8
30/04/2016,6903.8
31/05/2016,7132.5
30/06/2016,6899.4
31/07/2016,8085.5
31/08/2016,8053.3
30/09/2016,8038.4
31/10/2016,9011.1
30/11/2016,8575.2
31/12/2016,8147.7
31/01/2017,7011.5
28/02/2017,6446.7
31/03/2017,8016.5
30/04/2017,7513.6
31/05/2017,7540.3
30/06/2017,6889.7
31/07/2017,7944.6
31/08/2017,8440.3
30/09/2017,7728.8
31/10/2017,8961.7
30/11/2017,8641.8
31/12/2017,8056.1
31/01/2018,6448.5
28/02/2018,6243.3
31/03/2018,8292.7
30/04/2018,7536.8
31/05/2018,7863.8
30/06/2018,7468.8
31/07/2018,8410.9
31/08/2018,9348.4
30/09/2018,8976.3
31/10/2018,9842.4
30/11/2018,9373.5
31/12/2018,9019.3
31/01/2019,7728.9
28/02/2019,7954.1
31/03/2019,9692.1
30/04/2019,9104.1
31/05/2019,8819.3
30/06/2019,8875.4
31/07/2019,9749.1
31/08/2019,10658.9
30/09/2019,10397.1
31/10/2019,11219
30/11/2019,10809.3
31/12/2019,8106
31/01/2020,8321.3
29/02/2020,9058.7
31/03/2020,4723.6
30/04/2020,351.3
31/05/2020,189.1
30/06/2020,383.5
31/07/2020,1090.8
31/08/2020,1823
30/09/2020,2107.4
31/10/2020,2756.7
30/11/2020,3243.5
31/12/2020,2557.5
31/01/2021,2176.7
28/02/2021,2280.8
31/03/2021,3262.8
30/04/2021,3946.9
31/05/2021,4951.3
30/06/2021,5902.1
31/07/2021,7082.2
31/08/2021,6234.2
30/09/2021,5873.8
31/10/2021,6820.7
30/11/2021,7789.3
31/12/2021,7225.1
31/01/2022,5419.9
28/02/2022,6743.6
31/03/2022,9094
30/04/2022,9314.9
31/05/2022,9800.6
30/06/2022,9798.8
31/07/2022,8242
31/08/2022,9479.5
30/09/2022,9152.4
31/10/2022,11263.1
30/11/2022,12143.4
31/12/2022,10333.9
31/01/2023,10723.2
28/02/2023,12014.8
31/03/2023,12356.8
30/04/2023,11568.2
31/05/2023,10276.3
30/06/2023,9429
31/07/2023,9878.7
31/08/2023,10318.6
30/09/2023,10316.4
31/10/2023,11921.4
30/11/2023,12654.3
31/12/2023,11396.5
31/01/2024,10176.8
29/02/2024,11640
31/03/2024,10664
30/04/2024,10187
31/05/2024,10064
30/06/2024,10366
31/07/2024,10999
31/08/2024,11119
30/09/2024,12029
31/10/2024,13847
30/11/2024,17462
31/12/2024,12822
31/01/2025,12867
28/02/2025,13958
31/03/2025,14106
30/04/2025,13041
31/05/2025,11966
