año,valor
31/08/2017,384655
30/09/2017,321492
31/10/2017,366350
30/11/2017,381239
31/12/2017,460602
31/01/2018,396836
28/02/2018,380218
31/03/2018,422002
30/04/2018,365775
31/05/2018,387356
30/06/2018,431680
31/07/2018,451454
31/08/2018,405972
30/09/2018,341759
31/10/2018,411564
30/11/2018,396832
31/12/2018,467260
31/01/2019,402962
28/02/2019,395130
31/03/2019,438125
30/04/2019,379609
31/05/2019,411064
30/06/2019,452439
31/07/2019,465058
31/08/2019,420836
30/09/2019,340454
31/10/2019,417095
30/11/2019,397076
31/12/2019,469353
31/01/2020,406562
29/02/2020,407086
31/03/2020,209321
30/04/2020,8338
31/05/2020,9526
30/06/2020,23384
31/07/2020,43189
31/08/2020,59715
30/09/2020,69064
31/10/2020,103589
30/11/2020,110011
31/12/2020,184537
31/01/2021,124134
28/02/2021,89098
31/03/2021,132091
30/04/2021,143841
31/05/2021,199435
30/06/2021,245821
31/07/2021,293043
31/08/2021,255952
30/09/2021,235313
31/10/2021,292279
30/11/2021,296393
31/12/2021,375667
31/01/2022,271256
28/02/2022,265813
31/03/2022,340359
30/04/2022,343755
31/05/2022,356856
30/06/2022,395722
31/07/2022,408227
31/08/2022,351381
30/09/2022,317045
31/10/2022,391645
30/11/2022,363362
31/12/2022,398993
31/01/2023,371271
28/02/2023,358945
31/03/2023,386222
30/04/2023,326535
31/05/2023,328857
30/06/2023,353261
31/07/2023,381431
31/08/2023,329591
30/09/2023,297552
31/10/2023,367575
30/11/2023,358680
31/12/2023,420071
31/01/2024,356072
29/02/2024,367640
31/03/2024,381680
30/04/2024,327172
31/05/2024,332327
30/06/2024,353386
31/07/2024,374535
31/08/2024,319012
30/09/2024,286128
31/10/2024,375188
30/11/2024,358623
31/12/2024,412266
31/01/2025,350712
28/02/2025,345830
31/03/2025,382221
30/04/2025,339553
31/05/2025,330834
