año,valor
31/01/2012,835662
29/02/2012,911259
31/03/2012,1075185
30/04/2012,1004053
31/05/2012,904319
30/06/2012,985476
31/07/2012,1116865
31/08/2012,1151730
30/09/2012,1165801
31/10/2012,1137548
30/11/2012,994361
31/12/2012,1023224
31/01/2013,920074
28/02/2013,1004450
31/03/2013,1190940
30/04/2013,956533
31/05/2013,1080335
30/06/2013,964333
31/07/2013,1010875
31/08/2013,1023423
30/09/2013,1028950
31/10/2013,1125090
30/11/2013,1368103
31/12/2013,1004111
31/01/2014,1034979
28/02/2014,927877
31/03/2014,1020177
30/04/2014,1104222
31/05/2014,1051292
30/06/2014,1043847
31/07/2014,1108393
31/08/2014,1116432
30/09/2014,1122791
31/10/2014,1195269
30/11/2014,1201843
31/12/2014,1168142
31/01/2015,922080
28/02/2015,1072301
31/03/2015,1046626
30/04/2015,1188807
31/05/2015,987055
30/06/2015,1098971
31/07/2015,1148752
31/08/2015,1122220
30/09/2015,1084539
31/10/2015,1200340
30/11/2015,1148533
31/12/2015,1104784
31/01/2016,930113
29/02/2016,918688
31/03/2016,1211727
30/04/2016,1144973
31/05/2016,1055252
30/06/2016,1012622
31/07/2016,1191449
31/08/2016,1137906
30/09/2016,1219261
31/10/2016,1308304
30/11/2016,1291942
31/12/2016,1160518
31/01/2017,936637
28/02/2017,904346
31/03/2017,1172936
30/04/2017,1177035
31/05/2017,1127742
30/06/2017,1042896
31/07/2017,1216452
31/08/2017,1202155
30/09/2017,1203434
31/10/2017,1295681
30/11/2017,1291928
31/12/2017,1175616
31/01/2018,957657
28/02/2018,924252
31/03/2018,1199106
30/04/2018,1203540
31/05/2018,1150880
30/06/2018,1060846
31/07/2018,1236902
31/08/2018,1222273
30/09/2018,1223473
31/10/2018,1310821
30/11/2018,1304857
31/12/2018,1187602
31/01/2019,964997
28/02/2019,996426
31/03/2019,1214121
30/04/2019,1156017
31/05/2019,1080513
30/06/2019,1186246
31/07/2019,1189165
31/08/2019,1139820
30/09/2019,1161761
31/10/2019,1409924
30/11/2019,1356990
31/12/2019,1049103
31/01/2020,1019979
29/02/2020,1089758
31/03/2020,544099
30/04/2020,53367
31/05/2020,24278
30/06/2020,55935
31/07/2020,156297
31/08/2020,246840
30/09/2020,280943
31/10/2020,359856
30/11/2020,412093
31/12/2020,330733
31/01/2021,280003
28/02/2021,293082
31/03/2021,362366
30/04/2021,449403
31/05/2021,561780
30/06/2021,618737
31/07/2021,703582
31/08/2021,630676
30/09/2021,642982
31/10/2021,700396
30/11/2021,824085
31/12/2021,797037
31/01/2022,569456
28/02/2022,662123
31/03/2022,976809
30/04/2022,996632
31/05/2022,1070534
30/06/2022,1081537
31/07/2022,863344
31/08/2022,969308
30/09/2022,996738
31/10/2022,1264176
30/11/2022,1356300
31/12/2022,1093084
31/01/2023,996626
28/02/2023,1135886
31/03/2023,1194793
30/04/2023,1147849
31/05/2023,1127302
30/06/2023,1085133
31/07/2023,1125558
31/08/2023,1235109
30/09/2023,1220725
31/10/2023,1396127
30/11/2023,1479208
31/12/2023,1259033
31/01/2024,1092735
29/02/2024,1177254
31/03/2024,1195963
30/04/2024,1175196
31/05/2024,1147317
30/06/2024,1114716
31/07/2024,1184751
31/08/2024,1176699
30/09/2024,1249695
31/10/2024,1446368
30/11/2024,1625984
31/12/2024,1261151
31/01/2025,1142891
28/02/2025,1236094
31/03/2025,1268980
30/04/2025,1230798
31/05/2025,1173575
30/06/2025,1190288
