Código,Entidad,Municipio,Población_migrantes_porcentaje,Trabajo,Familiar,Estudiar,Inseguridad,Otra_causa
089,Ciudad de México,000 Ciudad de México,7.4%,28.0%,37.0%,8.9%,4.2%,21.9%
090,Ciudad de México,010 Álvaro Obregón,6.2%,32.1%,35.5%,7.3%,3.1%,21.9%
091,Ciudad de México,002 Azcapotzalco,8.9%,25.9%,38.3%,8.9%,4.3%,22.5%
092,Ciudad de México,014 Benito Juárez,18.1%,32.6%,29.0%,8.8%,5.0%,24.6%
093,Ciudad de México,003 Coyoacán,8.3%,24.1%,33.7%,14.4%,4.9%,22.9%
094,Ciudad de México,004 Cuajimalpa de Morelos,7.0%,38.8%,33.9%,7.3%,2.6%,17.3%
095,Ciudad de México,015 Cuauhtémoc,11.4%,38.1%,28.4%,9.7%,3.3%,20.4%
096,Ciudad de México,005 Gustavo A. Madero,5.1%,22.4%,40.5%,12.9%,5.6%,18.6%
097,Ciudad de México,006 Iztacalco,9.1%,19.6%,44.1%,5.9%,4.5%,25.9%
098,Ciudad de México,007 Iztapalapa,4.2%,23.3%,45.2%,6.6%,3.5%,21.4%
099,Ciudad de México,008 La Magdalena Contreras,5.3%,23.1%,44.7%,5.2%,3.7%,23.3%
100,Ciudad de México,016 Miguel Hidalgo,14.6%,42.9%,29.0%,8.9%,2.8%,16.4%
101,Ciudad de México,009 Milpa Alta,4.7%,14.9%,52.3%,3.3%,5.6%,23.9%
102,Ciudad de México,011 Tláhuac,6.6%,16.0%,50.2%,3.9%,3.3%,26.5%
103,Ciudad de México,012 Tlalpan,7.4%,22.9%,36.6%,12.9%,4.6%,23.0%
104,Ciudad de México,017 Venustiano Carranza,7.2%,25.1%,40.8%,6.2%,5.0%,23.0%
105,Ciudad de México,013 Xochimilco,4.9%,21.4%,44.6%,5.0%,4.4%,24.6%
