titulo,precio,ubicacion,recamaras,banos,m2,url,datos_brutos
,"MXN3,800,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5390330888-hermoso-departamento-en-venta-en-sara-towers-de-3-recamaras-y-2-banos-comodo-y-bien-iluminado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42,"PUBLICADO ESTA SEMANA | Departamento en venta | Hermoso Departamento En Venta En Sara Towers De 3 Recámaras Y 2 Baños, Cómodo Y Bien Iluminado. | MXN | 3,800,000 | 3 recámaras | 2 baños | 75 m² construidos | Sara 4449, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN4,500,000",,,,,https://casa.mercadolibre.com.mx/MLM-4833606036-casa-con-potencial-residencial-y-comercial-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Casa Con Potencial Residencial Y Comercial | MXN | 4,500,000 | 3 recámaras | 3 baños | 440 m² construidos | San Felipe De Jesús, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN9,300,000",,,,,https://casa.mercadolibre.com.mx/MLM-4965643814-casa-en-venta-en-lindavista-norte-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Casa En Venta En Lindavista Norte | pulppo | MXN | 9,300,000 | 8 recámaras | 5 baños | 255 m² construidos | Chiclayo, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN13,650,000",,,,,https://casa.mercadolibre.com.mx/MLM-2817912093-residencia-en-venta-remodelada-y-lista-para-habitar-lindavista-norte-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Residencia En Venta  Remodelada Y Lista Para Habitar Lindavista Norte | MXN | 13,650,000 | 4 recámaras | 5 baños | 300 m² construidos | Sin Calle, Lindavista Norte, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN5,850,000",,,,,https://casa.mercadolibre.com.mx/MLM-2792149385-casa-en-venta-en-industrial-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Casa En Venta En Industrial | pulppo | MXN | 5,850,000 | 6 recámaras | 4 baños | 293 m² construidos | Avenida Cruz Azul 100, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN2,643,334",,,,,https://departamento.mercadolibre.com.mx/MLM-4995492040-departamento-en-venta-en-santa-isabel-tola-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Departamento en venta | Departamento En Venta En Santa Isabel Tola | pulppo | MXN | 2,643,334 | 2 recámaras | 1 baño | 68 m² construidos | Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN6,800,000",,,,,https://casa.mercadolibre.com.mx/MLM-5225283468-casa-en-venta-en-vallejo-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Casa En Venta En Vallejo | pulppo | MXN | 6,800,000 | 8 recámaras | 7 baños | 360 m² construidos | Calle Wagner 300, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN7,995,000",,,,,https://departamento.mercadolibre.com.mx/MLM-4995470604-departamento-en-venta-en-lindavista-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=false,"Departamento en venta | Departamento En Venta En Lindavista | pulppo | MXN | 7,995,000 | 3 recámaras | 3 baños | 127 m² construidos | Pernambuco 800, Gustavo A. Madero, Distrito Federal | Tour virtual | Destacado"
,"MXN19,000,000",,,,,https://casa.mercadolibre.com.mx/MLM-2902831841-casa-en-venta-en-lindavista-norte-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Casa En Venta En Lindavista Norte | pulppo | MXN | 19,000,000 | 3 recámaras | 3 baños | 275 m² construidos | Pujato No. 8, Lindavista Norte, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN2,189,000",,,,,https://departamento.mercadolibre.com.mx/MLM-2798063013-excelentes-departamentos-nuevos-av-acueducto-preventa-2-y-3-recamaras-balcon-muy-buena-ubicacion-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Departamento en venta | Excelentes Departamentos Nuevos, Av Acueducto, Preventa, 2 Y 3 Recamaras, Balcón, Muy Buena Ubicación | MXN | 2,189,000 | 2 recámaras | 1 baño | 50 m² construidos | Av. Acueducto 835, Candelaria Ticoman, Ciudad De México, Barrio Candelaria Ticomán, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN15,000,000",,,,,https://casa.mercadolibre.com.mx/MLM-2776038787-casa-en-venta-en-torres-lindavista-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Casa En Venta En Torres Lindavista | MXN | 15,000,000 | 5 recámaras | 5 baños | 500 m² construidos | Torres Lindavista, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN3,150,000",,,,,https://departamento.mercadolibre.com.mx/MLM-2831523237-sara-towers-guadalupe-tepeyac-departamento-3-recamaras-bastante-luminoso-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Departamento en venta | Sara Towers, Guadalupe Tepeyac, Departamento  3 Recámaras. Bastante Luminoso | MXN | 3,150,000 | 2 recámaras | 1 baño | 64 m² construidos | Guadalupe Tepeyac, Mexico City, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN2,799,000",,,,,https://departamento.mercadolibre.com.mx/MLM-4761769620-departamento-en-venta-en-tablas-de-san-agustin-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=13&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Departamento en venta | Departamento En Venta En Tablas De San Agustín | pulppo | MXN | 2,799,000 | 2 recámaras | 2 baños | 66 m² construidos | Eje 1 Oriente Ferrocarril Hidalgo 1337,Colonia Tablas De San Agustín, Alcaldía Gustavo A. Madero, C.P. 7800, Ciudad De México, Gustavo A. Madero, Distrito Federal | Tour virtual | Destacado"
,"MXN2,755,817",,,,,https://departamento.mercadolibre.com.mx/MLM-2784668511-departamento-en-venta-en-santa-isabel-tola-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=14&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Departamento en venta | Departamento En Venta En Santa Isabel Tola | pulppo | MXN | 2,755,817 | 2 recámaras | 1 baño | 70 m² construidos | Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN2,432,700",,,,,https://departamento.mercadolibre.com.mx/MLM-4971136862-departamento-en-venta-san-juan-de-aragon-cdmx-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=15&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Departamento en venta | Departamento En Venta  San Juan De Aragón, Cdmx | MXN | 2,432,700 | 3 recámaras | 1 baño | 77 m² construidos | Calz. San Juan De Aragón 533, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN6,900,000",,,,,https://casa.mercadolibre.com.mx/MLM-3876924578-amplia-casa-en-zona-escolar-oriente-gustavo-a-madero-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=16&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Casa en venta | Amplia Casa En Zona Escolar Oriente, Gustavo A. Madero | MXN | 6,900,000 | 5 recámaras | 2 baños | 450 m² construidos | Adolfo Ruiz Cortínez Lt 14 Mz 104, Zona Escolar Oriente, Gustavo A. Madero, Distrito Federal | Destacado"
,"MXN3,070,028",,,,,https://departamento.mercadolibre.com.mx/MLM-4995472436-departamento-en-venta-en-santa-isabel-tola-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=item&tracking_id=b069d6e6-29f1-4fac-93e7-6b12c2f5dc42&price_drop=not_apply,"Departamento en venta | Departamento En Venta En Santa Isabel Tola | pulppo | MXN | 3,070,028 | 2 recámaras | 1 baño | 76 m² construidos | Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal | Destacado"
