SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
601b6b46fa6afe7f5360c62c,"Departamento en Renta en Col. Ciudad de los deportes, Benito Juárez, CDMX",11000,36,1,1,0,"Holbein, Ciudad de los deportes",Benito Juárez,1,https://homie.mx/pub/601b6b46fa6afe7f5360c62c
5fa9cb08fa6afe1eb2ebe11a,"Casa en Renta en Tizapán San Ángel, Álvaro Obregón",12000,30,1,1,0,"Cuauhtémoc, Tizapán",Álvaro Obregón,1,https://homie.mx/pub/5fa9cb08fa6afe1eb2ebe11a
5bb66a1a533e3a201f5e67d7,"Departamento en renta - La Martinica, Álvaro Obregón",12500,90,2,1,0,"1a cerrada andros, La martinica",Álvaro Obregón,1,https://homie.mx/pub/5bb66a1a533e3a201f5e67d7
6041aca1fa6afe13b23b9a9a,"Departamento en Renta Lago Superior #31, Miguel Hidalgo, CDMX",12734,56,2,1,0,"Calle lago superior, Tacuba",Miguel Hidalgo,1,https://homie.mx/pub/6041aca1fa6afe13b23b9a9a
69ea9d58126431003a784b63,"Departamento en Renta – Nueva Rosita, Iztapalapa, CDMX",13310,80,3,1,0,"Ingenieros civiles, Nueva rosita",Iztapalapa,1,https://homie.mx/pub/69ea9d58126431003a784b63
622f75945e69100045450325,Departamento Tipo Loft con servicios incluidos*,14800,31,1,1,0,"Avenida revolución, Tacubaya",Departamento Tipo Loft con servicios incluidos*,1,https://homie.mx/pub/622f75945e69100045450325
65301fc6ddf20d0050df4c57,Departamento Tipo Loft con servicios incluidos*,14800,31,1,1,0,"Privada antonio maceo, Tacubaya",Departamento Tipo Loft con servicios incluidos*,1,https://homie.mx/pub/65301fc6ddf20d0050df4c57
61fef462aabc5f0048e9b2d2,Departamento Tipo Loft con servicios incluidos*,14800,31,1,1,0,"Avenida revolución, Tacubaya",Departamento Tipo Loft con servicios incluidos*,1,https://homie.mx/pub/61fef462aabc5f0048e9b2d2
640ff88403eb5b00510d91b4,"Departamento en renta - Lomas de Tarango, Álvaro Obregón",15540,60,2,1,0,"Avenida centenario, Lomas de tarango",Álvaro Obregón,1,https://homie.mx/pub/640ff88403eb5b00510d91b4
6283ed77ab6b3500424d9a9f,"Departamento en renta - Doctores, Cuauhtémoc",16000,97,2,2,0,"Doctor andrade, Doctores",Cuauhtémoc,1,https://homie.mx/pub/6283ed77ab6b3500424d9a9f
67056f5d068a58003b31ece2,"Departamento en Renta el Col. Jardín Balbuena, Venustiano Carranza, CDMX",5700,20,1,1,0,"Retorno 30 avenida del taller, Jardín balbuena",Venustiano Carranza,2,https://homie.mx/pub/67056f5d068a58003b31ece2
697d58215fdd4a003a99e140,"Habitación Amueblada en Renta con Servicios Incluidos en Xalpa, Cuajimalpa",5800,36,1,1,0,"San miguel, Xalpa",Cuajimalpa,2,https://homie.mx/pub/697d58215fdd4a003a99e140
5a989abf533e3a26c0014d53,Departamento en renta - San Diego Ocoyoacac,6000,55,2,1,0,"Cañito 25, San diego ocoyoacac",Departamento en renta - San Diego Ocoyoacac,2,https://homie.mx/pub/5a989abf533e3a26c0014d53
67e6c6bb08b870003bab598d,"Casa en Renta en Industrias Tultepec, Ecatepec, EdoMex",7900,75,3,2,0,"Avenida europa, Industrias tulpetlac",EdoMex,2,https://homie.mx/pub/67e6c6bb08b870003bab598d
5bea3e11533e3a3f5ab6397f,"Departamento en renta - Tepalcates, Iztapalapa",8100,48,2,1,0,"Santa teresa, Tepalcates",Iztapalapa,2,https://homie.mx/pub/5bea3e11533e3a3f5ab6397f
69a5ee3789152f003b944e2a,Casa en renta en Las Américas Ecatepec,8400,75,2,2,0,"América central, Las américas",Casa en renta en Las Américas Ecatepec,2,https://homie.mx/pub/69a5ee3789152f003b944e2a
5f99e539fa6afe112f85b5c7,"Departamento en Renta en Col. Coapa, Coyoacán, CDMX",9000,52,2,1,0,"Andador sin nombre, Culhuacan ctm ix a",Coyoacán,2,https://homie.mx/pub/5f99e539fa6afe112f85b5c7
6014bbbefa6afe094f9c611b,"Departamento en Molino de Rosas, Álvaro Obregón",9000,40,1,1,0,"Rosa carmesí, Molino de rosas",Álvaro Obregón,2,https://homie.mx/pub/6014bbbefa6afe094f9c611b
67b67f11b55f3e003bb3e84f,Departamento en Renta en Magdalena Mixihuca,9800,76,3,1,0,"Calle nicolás romero, Magdalena mixihuca",Departamento en Renta en Magdalena Mixihuca,2,https://homie.mx/pub/67b67f11b55f3e003bb3e84f
695d6e12a74c48003a7483fe,"Departamento en renta en Av. Picacho Ajusco, Tlalpan",12500,90,3,2,0,"Privada morelos, Magdalena petlacalco",Tlalpan,2,https://homie.mx/pub/695d6e12a74c48003a7483fe
683e272b181157003b965209,"Departamento en renta en Valle Gómez, Venustiano Carranza",12700,56,2,1,0,"Zinc, Valle gómez",Venustiano Carranza,3,https://homie.mx/pub/683e272b181157003b965209
69fe5fc5f3461c003b665538,"Departamento en Renta en Miguel Hidalgo 2da Sección, Tlalpan, CDMX",13000,60,2,1,0,"San felipe, Miguel hidalgo 2da sección",Tlalpan,3,https://homie.mx/pub/69fe5fc5f3461c003b665538
688911eb85fbe6003ab79540,"Departamento en Renta en Lago Cuitzeo 234, Anáhuac I Sección",14200,71,2,1,0,"Lago cuitzeo, Anáhuac i sección",Anáhuac I Sección,3,https://homie.mx/pub/688911eb85fbe6003ab79540
