SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
41032-73-9b125b6f6ca-80ef-19d31c6-afc7-7648,Departamento en Renta en Bosques de Tarango,50000,215,2,2,2,"Bosques de Tarango, Álvaro Obregón, Ciudad de México",Álvaro Obregón,1,https://www.lamudi.com.mx/detalle/41032-73-9b125b6f6ca-80ef-19d31c6-afc7-7648
41032-73-655ba97117a4-87ba-19e24f2-bb53-70a0,Departamento en Renta en Jardines del Pedregal,25000,50,0,1,1,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México",Álvaro Obregón,1,https://www.lamudi.com.mx/detalle/41032-73-655ba97117a4-87ba-19e24f2-bb53-70a0
41032-73-62e6ca85322a-dfe4-19ce59f-b9dd-7374,Departamento en Renta en Polanco,66500,110,2,2,0,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-62e6ca85322a-dfe4-19ce59f-b9dd-7374
41032-73-aa9cb0c06310-d2f3-19c5283-bb47-7834,Departamento en Renta en Polanco,70001,110,2,2,1,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-aa9cb0c06310-d2f3-19c5283-bb47-7834
41032-73-b5b20af19439-9f6b-19d7b51-969a-7460,Departamento en Renta en Juárez,24316,48,1,1,0,"Juárez, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-b5b20af19439-9f6b-19d7b51-969a-7460
41032-73-c3c8244a32ee-d83b-19e4720-b320-7204,Departamento en Renta en Polanco,69900,130,3,3,3,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-c3c8244a32ee-d83b-19e4720-b320-7204
41032-73-22ba68fbe634-b385-195e4f6-b347-7d75,Departamento en Renta en Roma Sur,19700,35,1,1,0,"Roma Sur, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-22ba68fbe634-b385-195e4f6-b347-7d75
41032-73-eecd3c475def-b2a5-19deb8f-9a26-7539,Departamento en Renta en Polanco,98000,200,2,2,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-eecd3c475def-b2a5-19deb8f-9a26-7539
41032-73-917989df9f2b-e80c-19d77ae-9813-73f4,Departamento en Renta en Granada,85000,198,2,2,2,"Granada, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-917989df9f2b-e80c-19d77ae-9813-73f4
41032-73-1cff4a263b84-a58b-19ab6c1-ac0a-7753,Departamento en Renta en Tabacalera,37314,80,1,1,1,"Tabacalera, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-1cff4a263b84-a58b-19ab6c1-ac0a-7753
41032-73-5d86efd29f5a-72c7-19ab6cc-971b-72c6,Departamento en Renta en Tabacalera,32314,60,1,1,1,"Tabacalera, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-5d86efd29f5a-72c7-19ab6cc-971b-72c6
41032-73-cf64b900eabf-ebc0-19db5a2-b123-7f10,Departamento en Renta en Roma Sur,42000,110,2,2,0,"Roma Sur, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-cf64b900eabf-ebc0-19db5a2-b123-7f10
41032-73-87a0204b4ad1-fb0d-19db5a2-a1ba-77e9,Departamento en Renta en Roma Sur,40000,110,2,2,0,"Roma Sur, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-87a0204b4ad1-fb0d-19db5a2-a1ba-77e9
41032-73-8a2d14f7b3b7-807f-19cba41-a703-7327,Departamento en Renta en Juárez,44006,45,1,1,1,"Juárez, Cuauhtémoc, Ciudad de México",Cuauhtémoc,1,https://www.lamudi.com.mx/detalle/41032-73-8a2d14f7b3b7-807f-19cba41-a703-7327
41032-73-851e22727f13-feb5-19e4804-80a5-7053,Departamento en Renta en Cuajimalpa,16000,100,1,1,1,"Cuajimalpa, Cuajimalpa de Morelos, Ciudad de México",Cuajimalpa de Morelos,1,https://www.lamudi.com.mx/detalle/41032-73-851e22727f13-feb5-19e4804-80a5-7053
41032-73-effe17316ace-ebf2-19e515e-97c6-7457,Departamento en Renta en Granada,42000,77,2,2,1,"Granada, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-effe17316ace-ebf2-19e515e-97c6-7457
41032-73-16391c7b4e51-1a0-19e42c4-a803-770f,Departamento en Renta en Granada,36000,70,1,1,1,"Granada, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-16391c7b4e51-1a0-19e42c4-a803-770f
41032-73-5fda703f1650-9251-19dc7d8-a4fa-71cb,Departamento en Renta en Polanco,58500,151,2,2,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-5fda703f1650-9251-19dc7d8-a4fa-71cb
41032-73-9b4ba4ce884f-974e-19dc7c4-8484-7297,Departamento en Renta en Polanco,58500,151,2,2,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-9b4ba4ce884f-974e-19dc7c4-8484-7297
41032-73-b1f5f2a6ee8-8038-19dc7e4-bc4f-76c5,Departamento en Renta en Polanco,59800,155,2,2,1,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-b1f5f2a6ee8-8038-19dc7e4-bc4f-76c5
41032-73-7422049bb91f-ff72-19dd70b-9321-723d,Departamento en Renta en Granada,43000,140,3,2,2,"Granada, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-7422049bb91f-ff72-19dd70b-9321-723d
41032-73-4ef5772fe249-9445-19dc7de-8f7d-7501,Departamento en Renta en Polanco,59800,155,2,2,2,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,1,https://www.lamudi.com.mx/detalle/41032-73-4ef5772fe249-9445-19dc7de-8f7d-7501
