SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
RENTOLA-715169,Cookie Consent Solution for GDPR & CCPA Compliance,0,0,0,0,0,N/A,CDMX,1,https://www.cookieyes.com/product/cookie-consent/?ref=cypbcyb&utm_source=cookie-banner&utm_medium=powered-by-cookieyes
RENTOLA-15,departamento de 2 habitaciones de 97 m² en Ciudad de México,2500,26,2,0,1,"Calle José María Lafragua 16, Tabacalera, 06030 Mexico City, CMX, Mexico",Tabacalera,1,https://rentola.mx/listings/lafragua-departamento-en-renta-amueblado-pb71c15
RENTOLA-408439,departamento de 2 habitaciones de 85 m² en Ciudad de México,4250,50,2,0,1,"Pemex, Calle Veracruz 50, Condesa, 06700 Mexico City, CMX, Mexico",Condesa,1,https://rentola.mx/listings/departamentos-de-lujo-amueblados-en-calle-veracruz-edificio-art-deco-p64a6ab
RENTOLA-350661,departamento de 2 habitaciones de 112 m² en Guadalajara,2800,25,2,0,1,"Calle Valparaíso 2432, Jardines de Providencia, 45170 Guadalajara, JAL, Mexico",45170 Guadalajara,1,https://rentola.mx/listings/departamento-en-renta-providencia-guadalajara-guadalajara-jalisco-p6dc30b
RENTOLA-447291,1 habitación de 11m² en Ciudad de México,3200,291,1,0,0,"unnamed road, Tacubaya, 11870 Mexico City, CMX, Mexico",11870 Mexico City,1,https://rentola.mx/listings/habitacion-amueblada-p447291
RENTOLA-74222,casa de 4 habitaciones de 150 m² en Guadalajara,11000,73,4,0,0,"Calle Concordia, Las Lomas Independencia, 44300 Guadalajara, JAL, Mexico",44300 Guadalajara,1,https://rentola.mx/listings/casa-en-renta-la-federacha-guadalajara-jalisco-pb74222
RENTOLA-3,departamento de 3 habitaciones de 65 m² en Ciudad de México,7250,112,3,0,1,"Avenida Morelos, Jardín Balbuena, 15900 Mexico City, CMX, Mexico",15900 Mexico City,1,https://rentola.mx/listings/departamento-en-renta-jardin-balbuena-pc6d2c3
RENTOLA-826032,1 habitación de 7m² en Ciudad de México,1600,229,1,0,0,"Calle Amores, Colonia Santa Inés, 02200 Mexico City, CMX, Mexico",02200 Mexico City,1,https://rentola.mx/listings/estancia-estudiantil-p29501c
RENTOLA-760,casa de 1 habitación de 51 m² en Guadalajara,5100,100,1,0,1,"Guadalajara, Jalisco, Mexico",Guadalajara,1,https://rentola.mx/listings/casa-en-renta-col-jardines-del-sur-guadalajara-jal-dv-exahg-pabb760
RENTOLA-89,departamento de 1 habitación de 112 m² en Guadalajara,8000,71,1,0,1,"Cuidado con el Perro, Calle Colomos 1133, Providencia 2a Sección, 44648 Guadalajara, JAL, Mexico",44648 Guadalajara,1,https://rentola.mx/listings/departamento-en-renta-circunvalacion-americas-guadalajara-jalisco-pb7ed89
RENTOLA-2,casa de 3 habitaciones de 149 m² en Guadalajara,10300,69,3,0,1,"Calle Pedro Castera, Santa Tere, 44600 Guadalajara, JAL, Mexico",44600 Guadalajara,1,https://rentola.mx/listings/casa-en-renta-colonia-ladron-de-guevara-guadalajara-jalisco-p5cb3d2
