tipo_inmueble,titulo,precio_mxn,recamaras,banos,m2,colonia,ubicacion,publicado_reciente,url
Departamento,,3800000,3,3,75,Sara 4449,"Sara 4449, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",True,https://departamento.mercadolibre.com.mx/MLM-5390330888-hermoso-departamento-en-venta-en-sara-towers-de-3-recamaras-y-2-banos-comodo-y-bien-iluminado-_JM
Casa,Casa Con Potencial Residencial Y Comercial,4500000,3,3,440,San Felipe De Jesús,"San Felipe De Jesús, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4833606036-casa-con-potencial-residencial-y-comercial-_JM
Casa,,9300000,8,5,255,Chiclayo,"Chiclayo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4965643814-casa-en-venta-en-lindavista-norte-_JM
Casa,,13650000,4,5,300,Sin Calle,"Sin Calle, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2817912093-residencia-en-venta-remodelada-y-lista-para-habitar-lindavista-norte-_JM
Casa,,5850000,6,4,293,Avenida Cruz Azul 100,"Avenida Cruz Azul 100, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2792149385-casa-en-venta-en-industrial-_JM
Departamento,,2643334,2,1,68,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995492040-departamento-en-venta-en-santa-isabel-tola-_JM
Casa,,6800000,8,7,360,Calle Wagner 300,"Calle Wagner 300, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5225283468-casa-en-venta-en-vallejo-_JM
Departamento,,7995000,3,3,127,Pernambuco 800,"Pernambuco 800, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995470604-departamento-en-venta-en-lindavista-_JM
Casa,,19000000,3,3,275,Pujato No. 8,"Pujato No. 8, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2902831841-casa-en-venta-en-lindavista-norte-_JM
Departamento,,2189000,2,1,50,Av. Acueducto 835,"Av. Acueducto 835, Candelaria Ticoman, Ciudad De México, Barrio Candelaria Ticomán, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2798063013-excelentes-departamentos-nuevos-av-acueducto-preventa-2-y-3-recamaras-balcon-muy-buena-ubicacion-_JM
Casa,,15000000,5,5,500,Torres Lindavista,"Torres Lindavista, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2776038787-casa-en-venta-en-torres-lindavista-_JM
Departamento,,3150000,3,1,64,Guadalupe Tepeyac,"Guadalupe Tepeyac, Mexico City, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2831523237-sara-towers-guadalupe-tepeyac-departamento-3-recamaras-bastante-luminoso-_JM
Departamento,,2799000,2,2,66,Eje 1 Oriente Ferrocarril Hidalgo 1337,"Eje 1 Oriente Ferrocarril Hidalgo 1337,Colonia Tablas De San Agustín, Alcaldía Gustavo A. Madero, C.P. 7800, Ciudad De México, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4761769620-departamento-en-venta-en-tablas-de-san-agustin-_JM
Departamento,,2755817,2,1,70,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2784668511-departamento-en-venta-en-santa-isabel-tola-_JM
Departamento,,2432700,3,1,77,Calz. San Juan De Aragón 533,"Calz. San Juan De Aragón 533, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4971136862-departamento-en-venta-san-juan-de-aragon-cdmx-_JM
Casa,,6900000,5,2,450,Adolfo Ruiz Cortínez Lt 14 Mz 104,"Adolfo Ruiz Cortínez Lt 14 Mz 104, Zona Escolar Oriente, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-3876924578-amplia-casa-en-zona-escolar-oriente-gustavo-a-madero-_JM
Departamento,,3070028,2,1,76,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995472436-departamento-en-venta-en-santa-isabel-tola-_JM
Departamento,Bonito Departamento Excelente Ubicacion En Frente De La Central Camionera Del Norte,2650000,2,2,60,Pte 116 16,"Pte 116 16, Panamericana, Gustavo A. Madero, 07770 Ciudad De México, CDMX, Mexico, Magdalena De Las Salinas, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2847955771-bonito-departamento-excelente-ubicacion-en-frente-de-la-central-camionera-del-norte-_JM
Departamento,,3153688,2,1,77,Av. Acueducto De Guadalupe 511,"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-4995492710-departamento-en-venta-en-santa-isabel-tola-_JM
