ubicacion_raw,latitud,longitud
"Sara 4449, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4655649,-99.1193389
"San Felipe De Jesús, Gustavo A. Madero, Distrito Federal",19.5015185,-99.0734791
"Chiclayo, Gustavo A. Madero, Distrito Federal",19.4878635,-99.1323827
"Sin Calle, Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4817469,-99.1171968
"Avenida Cruz Azul 100, Gustavo A. Madero, Distrito Federal",,
"Av. Acueducto De Guadalupe 511, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",19.5037406,-99.1223025
"Calle Wagner 300, Gustavo A. Madero, Distrito Federal",19.4674527,-99.1279097
"Pernambuco 800, Gustavo A. Madero, Distrito Federal",19.4888166,-99.1277417
"Pujato No. 8, Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4998829,-99.1300173
"Av. Acueducto 835, Candelaria Ticoman, Ciudad De México, Barrio Candelaria Ticomán, Gustavo A. Madero, Distrito Federal",19.5189556,-99.1294855
"Torres Lindavista, Gustavo A. Madero, Distrito Federal",19.506314,-99.1445042
"Guadalupe Tepeyac, Mexico City, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4675479,-99.1205924
"Eje 1 Oriente Ferrocarril Hidalgo 1337,Colonia Tablas De San Agustín, Alcaldía Gustavo A. Madero, C.P. 7800, Ciudad De México, Gustavo A. Madero, Distrito Federal",,
"Calz. San Juan De Aragón 533, Gustavo A. Madero, Distrito Federal",,
"Adolfo Ruiz Cortínez Lt 14 Mz 104, Zona Escolar Oriente, Gustavo A. Madero, Distrito Federal",,
"Pte 116 16, Panamericana, Gustavo A. Madero, 07770 Ciudad De México, CDMX, Mexico, Magdalena De Las Salinas, Gustavo A. Madero, Distrito Federal",19.5167815,-99.162361
"San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",19.4596866,-99.0917728
"Insurgentes Nte., Ciudad De México, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4672361,-99.139506
"De Los Rompeolas, Acueducto De Guadalupe, Ciudad De México, Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",19.5271982,-99.1574028
"Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",19.5129933,-99.1522732
"Unión 266, Tepeyac Insurgentes, Ciudad De México, CDMX, México, Tepeyac Insurgentes, Gustavo A. Madero, Distrito Federal",19.4826486,-99.1217346
"Av. Acueducto, Residencial Zacatenco, Ciudad De México, Residencial Zacatenco, Gustavo A. Madero, Distrito Federal",19.5190987,-99.1363969
"Campestre Aragón, Gustavo A. Madero, Distrito Federal",19.4856,-99.0797574
"Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4675479,-99.1205924
"Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",19.4746604,-99.1322337
"Gertrudis Sánchez 1a Sección, Gustavo A. Madero, Distrito Federal",,
"C. Tetrazzini 292, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",19.4687923,-99.1308624
"Borodin 3, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",19.4682311,-99.133367
"De La Arena 34, Acueducto De Guadalupe, Gustavo A. Madero, 07270 Ciudad De México, CDMX, Mexico, Residencial Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",19.5208063,-99.1437298
"Vallejo, Gustavo A. Madero, Distrito Federal",19.5049574,-99.1536746
"SOTERO PRIETO, 58, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",19.4766156,-99.1306457
"Lindavista Sur, Gustavo A. Madero, Distrito Federal",,
"Saul 56, Guadalupe Tepeyac, Ciudad De México, CDMX, México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.469308,-99.1201239
"Martha 64, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad De México, CDMX, Mexico, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4682318,-99.1188878
"Constitución De La República, Gustavo A. Madero, Distrito Federal",19.4823184,-99.0759029
"Norte 74, 8041, Salvador Díaz Mirón, Gustavo A. Madero, Distrito Federal",19.4728505,-99.1452223
"7 De Noviembre, Gustavo A. Madero, Distrito Federal",19.4617797,-99.1241385
"Sara, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4655649,-99.1193389
"Guadalupe Proletaria, Gustavo A. Madero, Distrito Federal",19.5194858,-99.147971
"Nte. 70 6068, Aragón Inguarán, Ciudad De México, Aragón Inguaran, Gustavo A. Madero, Distrito Federal",19.4668194,-99.1210265
"Aragón La Villa, Gustavo A. Madero, Distrito Federal",,
"Arequipa SN, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4914538,-99.1220994
"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",19.4998868,-99.1156771
"Insurgentes Norte, 1249, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",19.5009923,-99.1181434
"Zona Escolar, Gustavo A. Madero, Distrito Federal",19.5332017,-99.1496192
"Calzada De Guadalupe 299, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4727183,-99.1218083
"NORTE 90, Gertrudis Sánchez 2a Sección, Gustavo A. Madero, Distrito Federal",19.4658938,-99.086824
"Honorable Congreso De La Unión 5737, Granjas Modernas, Ciudad De México, Granjas Modernas, Gustavo A. Madero, Distrito Federal",,
"Vallejo, Mexico City, Vallejo, Gustavo A. Madero, Distrito Federal",19.5049574,-99.1536746
"Av. Acueducto 835, Candelaria Ticoman, Ciudad De México, Ticoman, Gustavo A. Madero, Distrito Federal",19.5189556,-99.1294855
"Ote. 107 3370, Bondojito, Ciudad De México, Bondojito, Gustavo A. Madero, Distrito Federal",19.5045678,-99.0874159
"Santa Rosa, Gustavo A. Madero, Distrito Federal",19.4740027,-99.1255167
"Puerto Mazatlan, Loma La Palma, Ciudad De México, Loma La Palma, Gustavo A. Madero, Distrito Federal",19.5217486,-99.1405578
"Ambato, Lindavista Nte., Ciudad De México, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.500714,-99.1283312
"Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.5057393,-99.1480141
"Miguel Miramont 149, Martín Carrera, Gustavo A. Madero, Distrito Federal",,
"Cam. San Juan Ixtacala 59, Santa Rosa, Ciudad De México, Santa Rosa, Gustavo A. Madero, Distrito Federal",,
"Av. Centenario 1966, Pueblo De Santiago Atzacoalco, Ciudad De México, Atzacoalco, Gustavo A. Madero, Distrito Federal",19.5006923,-99.094593
"Ing. Roberto Gayol 121, Guadalupe Insurgentes, Ciudad De México, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",,
"San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",19.4933278,-99.1413426
"Gustavo A. Madero, Mexico City, Guadalupe Victoria, Gustavo A. Madero, Distrito Federal",19.4848583,-99.1178571
"Nte. 11, Defensores De La República, Ciudad De México, Defensores De La República, Gustavo A. Madero, Distrito Federal",19.4668194,-99.1210265
"Mendelssohn 162, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",19.4658839,-99.1394647
"Sara 4625, Colonia, Guadalupe Tepeyac, Ciudad De México, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4655649,-99.1193389
"DM Nacional, Gustavo A. Madero, Distrito Federal",19.4778665,-99.094982
"Excelente Edificio De Oficinas Con Gran Potencial Para Desarrollar Uso Mixto A Una Calle De Vallejo, Colonia Santa Rosa, Gustavo A. Madero, Distrito Federal",,
"Residencial Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",19.5240112,-99.1481872
"Abundio Martínez, Vallejo, Ciudad De México, Vallejo, Gustavo A. Madero, Distrito Federal",19.4696721,-99.1371733
"San Bartolo Atepehuacan, Mexico City, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",19.4933278,-99.1413426
"Huahuete  SN, Gustavo A. Madero, Distrito Federal",,
"La Joya, Gustavo A. Madero, Distrito Federal",19.460573,-99.1095538
"Nicandro Castillo, Juventino Rosas, Ciudad De México, Arboledas De Cuautepec El Alto, Gustavo A. Madero, Distrito Federal",19.5614914,-99.1350397
"Lindavista Nte., Mexico City, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4911559,-99.1343372
"Puerto Mazatlan, Loma La Palma, Ciudad De México, Loma De La Palma, Gustavo A. Madero, Distrito Federal",19.5217486,-99.1405578
"Jovellanos 45, Torres Lindavista, Ciudad De México, Torres Lindavista, Gustavo A. Madero, Distrito Federal",19.5078245,-99.1470581
"Ing. Braulio Martínez  #x, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",,
"C. Granate, Col. Estrella, Ciudad De México, Estrella, Gustavo A. Madero, Distrito Federal",19.473702,-99.1177252
"Terrazas Lindavista, Eje Central Lázaro Cárdenas 1040, Nueva Industrial Vallejo, Ciudad De México, Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",,
"Capultitlan, Mexico City, Capultitlán, Gustavo A. Madero, Distrito Federal",19.4783568,-99.1336761
"Corumbá 300 - 600, Valle Del Tepeyac, Ciudad De México, Valle Del Tepeyac, Gustavo A. Madero, Distrito Federal",19.4883946,-99.1395261
"Ignacio Zaragoza, Pueblo De San Juan De Aragón, Ciudad De México, San Juan De Aragón, Gustavo A. Madero, Distrito Federal",19.5439669,-99.1362692
"San Juan De Aragón IV Sección, Gustavo A. Madero, Distrito Federal",19.4707656,-99.0862927
"Otro Sin Referencia 30, DM Nacional, José María Morelos Y Pavón II, Gustavo A. Madero, 07450 Ciudad De México, CDMX, Mexico, DM Nacional, Gustavo A. Madero, Distrito Federal",,
"Pujato SN, Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4989858,-99.1307031
"Salaverry 899, Lindavista Nte., Ciudad De México, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.5094917,-99.1248543
"Martín Carrera, Mexico City, Martín Carrera, Gustavo A. Madero, Distrito Federal",19.4823204,-99.1058514
"Insurgentes Nte. 1190, Capultitlan, Ciudad De México, Capultitlán, Gustavo A. Madero, Distrito Federal",19.485081,-99.1219131
"Valle Del Tepeyac, Gustavo A. Madero, Distrito Federal",19.4881116,-99.1416177
"Insurgentes Norte 1346, Magdalena De Las Salinas, Gustavo A. Madero, Distrito Federal",19.5009923,-99.1181434
"PONIENTE 106 203, Guadalupe Victoria, Gustavo A. Madero, Distrito Federal",19.4679344,-99.1422687
"Insurgentes Norte Al 1346, Magdalena De Las Salinas, Gustavo A. Madero, Distrito Federal",19.5009923,-99.1181434
"Eten 546, Valle Del Tepeyac, Gustavo A. Madero, 7500 - 7800 Ciudad De México, CDMX, Mexico, Valle Del Tepeyac, Gustavo A. Madero, Distrito Federal",19.4943897,-99.1378793
"C.T.M. El Risco, Gustavo A. Madero, Distrito Federal",,
"Calz. San Juan De Aragón 439, DM Nacional, Granjas Modernas, Ciudad De México, DM Nacional, Gustavo A. Madero, Distrito Federal",,
"C. 1545 69, San Juan De Aragón VI Secc, Ciudad De México, San Juan De Aragón 6a Secc., Gustavo A. Madero, Distrito Federal",19.4657897,-99.0620636
"Acueducto De Guadalupe, Mexico City, Residencial Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",19.4889617,-99.1171639
"Av. 611 133, San Juan De Aragón III Secc, Ciudad De México, San Juan De Aragón 3a Secc., Gustavo A. Madero, Distrito Federal",19.4506769,-99.068002
"Porto Alegre SN, Torres Lindavista, Gustavo A. Madero, Distrito Federal",19.5098848,-99.1425268
"Av. Luis De La Rosa 16, Constitución De La República, Gustavo A. Madero, Distrito Federal",,
"Antigua Veracruz MZ36 LT4, San Felipe De Jesús, Ciudad De México, San Felipe De Jesús, Gustavo A. Madero, Distrito Federal",,
"Calz. San Juan De Aragón 533, Fovissste Aragón, Ciudad De México, Aragón Fovissste, Gustavo A. Madero, Distrito Federal",,
"Pueblo De Santiago Atzacoalco, Mexico City, Pueblo Santiago Atzacoalco, Gustavo A. Madero, Distrito Federal",,
"AV 527 133, San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",19.4606085,-99.0893813
"Lindavista Vallejo III Sección, Gustavo A. Madero, Distrito Federal",,
"Sin Calle, Bondojito, Gustavo A. Madero, Distrito Federal",19.4817469,-99.1171968
"Juan Sebastián Bach 191, Vallejo, Gustavo A. Madero, 07870 Ciudad De México, CDMX, Mexico, Arboledas, Gustavo A. Madero, Distrito Federal",19.4699485,-99.1355012
"Av Huasteca 176, Industrial, Ciudad De México, Industrial, Gustavo A. Madero, Distrito Federal",19.4743339,-99.1245531
"Av Centenario 1966, Santiago Atzacoalco, Gustavo A. Madero, Distrito Federal",19.5006923,-99.094593
"Calz. Ticomán 206, Lindavista, Ciudad De México, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal",,
"Virginia Fábregas 167, Arbolillo II, Gustavo A. Madero, 07239 Ciudad De México, CDMX, Mexico, Jorge Negrete, Gustavo A. Madero, Distrito Federal",19.5279605,-99.1443737
"Cuauhtémoc 11 11, Santiago Atzacoalco, Gustavo A. Madero, Distrito Federal",19.5509176,-99.136275
"Schumann 117, Depto 502, Vallejo,  Gustavo A. Madero 07870, Cdmx, Vallejo, Gustavo A. Madero, Distrito Federal",,
"Juan De Dios Bátiz I, Mexico City, Juan De Dios Batiz, Gustavo A. Madero, Distrito Federal",19.5036812,-99.1294773
"Santiago Atzacoalco, Gustavo A. Madero, Distrito Federal",19.5004436,-99.0951455
"Av Cuautepec 1650, Jorge Negrete, Ciudad De México, Jorge Negrete, Gustavo A. Madero, Distrito Federal",19.5425743,-99.1524644
"Insurgentes Norte Esq. Godart, Gustavo A. Madero, Distrito Federal",,
"And. Paseo El Arbolillo 43, Unidad Habitacional, México Izapa, Gustavo A. Madero, 07239 Ciudad De México, CDMX, Mexico, El Arbolillo, Gustavo A. Madero, Distrito Federal",,
"Condominio Grand Insurgentes, Av. Insurgentes Nte. 1260, Capultitlan, Ciudad De México, Capultitlán, Gustavo A. Madero, Distrito Federal",,
"Margarita Maza De Juárez 1045, Nueva Industrial Vallejo, Ciudad De México, Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",19.5088159,-99.1507629
"Abasolo 76, Villa Gustavo A. Madero, Gustavo A. Madero, 07050 Ciudad De México, CDMX, Mexico, Aragón La Villa, Gustavo A. Madero, Distrito Federal",19.4866771,-99.1134061
