latitud,longitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,is_luxury,tipologia,cuadrante_soc,gentrification_index,marginalidad_score,seg_transit,accesibilidad_transit
19.4183227,-99.1625655,Cuauhtémoc,47000.0,439.25233644859816,107.0,2,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,451.54832230219273
19.4093714,-99.1712126,Cuauhtémoc,59000.0,310.5263157894737,190.0,3,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,514.202520508241
19.3964758,-99.1733421,Nápoles,37500.0,300.0,125.0,3,3.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,2.0,Media_Accesibilidad,1107.9666342881033
19.43353,-99.190915,Miguel Hidalgo,10000.0,25.0,400.0,3,4.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Alta_Accesibilidad,444.2627964713553
19.3465983,-99.2993588,Contadero,36000.0,297.5206611570248,121.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,11587.481502401353
19.43353,-99.190915,Miguel Hidalgo,75000.0,480.7692307692308,156.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Alta_Accesibilidad,444.2627964713553
19.3905208,-99.1579016,Narvarte Poniente,19500.0,201.03092783505156,97.0,3,2.0,0,Familiar_Grande,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,537.3083925162549
19.4335653,-99.1880639,Polanco,45000.0,375.0,120.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,579.0596313858898
19.3906515,-99.1952423,Álvaro Obregón,25000.0,210.08403361344537,119.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_BajaGentrif,0.0,1.0,Media_Accesibilidad,1310.5121766298066
19.3890898,-99.1743711,Benito Juárez,60000.0,379.746835443038,158.0,3,4.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,993.948031878585
19.3907336,-99.1562478,Narvarte Poniente,32000.0,266.6666666666667,120.0,2,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,484.9820491735335
19.47925,-99.1962972,Azcapotzalco,17900.0,223.75,80.0,2,2.0,0,Familiar_Chico,AltaMarg_BajaGentrif,0.7799341145447056,2.0,Media_Accesibilidad,1369.6085767056093
19.3043066,-99.1200004,Coyoacán,16000.0,242.42424242424244,66.0,2,1.0,0,Familiar_Chico,BajaMarg_BajaGentrif,0.750956198657275,1.0,Baja_Accesibilidad,2392.0529387139177
19.3915073,-99.1855297,Benito Juárez,20900.0,321.53846153846155,65.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.933319961735651,2.0,Media_Accesibilidad,690.3628252658054
19.4462672,-99.1526509,Cuauhtémoc,15000.0,294.11764705882354,51.0,2,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,267.95512539364694
19.43353,-99.190915,Miguel Hidalgo,31000.0,484.375,64.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Alta_Accesibilidad,444.2627964713553
19.3448515,-99.1323717,Campestre Churubusco,17900.0,238.66666666666666,75.0,1,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Media_Accesibilidad,1109.3187816684463
19.3601941,-99.1668669,Benito Juárez,70000.0,368.42105263157896,190.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,863.2139207818312
19.442902,-99.2014215,Miguel Hidalgo,16700.0,417.5,40.0,1,1.0,0,Studio/Micro,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,1432.692904874115
19.3601941,-99.1668669,Benito Juárez,28900.0,425.0,68.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,863.2139207818312
19.3601941,-99.1668669,Benito Juárez,32000.0,470.5882352941176,68.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,863.2139207818312
19.3890898,-99.1743711,Benito Juárez,58000.0,402.77777777777777,144.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,993.948031878585
19.4497398,-99.2150977,Miguel Hidalgo,20000.0,370.3703703703704,54.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Baja_Accesibilidad,2135.6203207866383
19.4497398,-99.2150977,Miguel Hidalgo,29900.0,446.2686567164179,67.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Baja_Accesibilidad,2135.6203207866383
19.442902,-99.2014215,Miguel Hidalgo,30700.0,458.2089552238806,67.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,1432.692904874115
