alcaldia,precio_2022,n_2022,precio_m2_2025,n_2025,incremento_%,alc,gentrification_index
Iztapalapa,19673.530120481926,83,29063.33060485043,89,47.728091638179734,iztapalapa,1.0
Benito Juárez,46569.086956521736,46,48643.535429145304,447,4.45456118682407,benito juarez,0.933319961735651
Miguel Hidalgo,47857.24528301887,53,49190.77476550808,1054,2.7864735519208548,miguel hidalgo,0.8585849060226639
Cuauhtémoc,48151.86842105263,38,58393.10504793048,210,21.2686173199465,cuauhtemoc,0.830531038273375
Gustavo A. Madero,26086.53164556962,79,29906.53241100535,186,14.6435747662319,gustavo a. madero,0.829803447501769
Azcapotzalco,26678.130952380954,84,28908.749281961263,78,8.361224156076917,azcapotzalco,0.7799341145447056
Iztacalco,21393.027777777777,36,27494.354770264617,54,28.52016580291947,iztacalco,0.7626118203348291
Venustiano Carranza,23767.061224489797,49,31505.861470169446,39,32.56103130539976,venustiano carranza,0.761616411382061
Coyoacán,35162.343434343435,99,43162.57133768702,586,22.752260293122774,coyoacan,0.750956198657275
Tláhuac,17737.3,10,19161.446301454354,22,8.029104212334207,tlahuac,0.5773137898079344
Xochimilco,29306.0,8,26680.739903657075,77,-8.958097646703491,xochimilco,0.5681953697835378
Milpa Alta,11376.5,4,7691.666666666667,2,-32.38986800275421,milpa alta,0.5523417435371646
Cuajimalpa de Morelos,48820.05882352941,34,37964.41908599997,699,-22.236023468897244,cuajimalpa de morelos,0.49427437331671703
Tlalpan,27786.032,125,36843.25872842834,518,32.59633015764304,tlalpan,0.3919311241687132
La Magdalena Contreras,25046.40625,32,38244.73438794742,270,52.6954965363441,la magdalena contreras,0.3233249370829295
Álvaro Obregón,43326.50574712644,87,43663.21647656599,1072,0.77714720731174,alvaro obregon,0.0
