alcaldia,n_listings,precio_m2_mediana,precio_m2_mean,precio_m2_std,gentrification_index,cv_precio,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,nota
Azcapotzalco,78,26801.190476190473,28908.749281961267,17312.951192992277,0.7799341145447056,0.5988827473693358,0.9292823755827275,1.3127230349172407e-34,1.0,0.0,1.0,2.810518432378342e-38,ok
Benito Juárez,447,44543.429844098,48643.53542914532,30376.610573524387,0.933319961735651,0.6244737415883612,0.8963750589825938,2.5335950730559607e-159,0.9999999999999998,0.0,1.0,8.855055590431419e-219,ok
Coyoacán,586,40766.64076664076,43162.571337687026,18713.34104747193,0.750956198657275,0.4335548246434646,0.9207215249105524,7.572447767349496e-241,1.0,0.0,1.0,1.3348634712689964e-286,ok
Cuajimalpa de Morelos,699,35058.82352941176,37964.41908599997,19124.645277542873,0.49427437331671703,0.503751821783977,0.9326516089553619,8.0707419877286e-311,1.0,0.0,1.0,0.0,ok
Cuauhtémoc,210,48202.12765957447,58393.10504793049,49629.608125304214,0.830531038273375,0.8499224023892379,0.8732110286023215,7.415092555297372e-67,1.0,0.0,0.9999999999999998,8.205916010162669e-103,ok
Gustavo A. Madero,186,28197.21755248071,29906.53241100535,16444.122945882187,0.829803447501769,0.5498505383335879,0.9739009734384452,1.9040100817727792e-120,1.0,0.0,1.0,3.5263128168736574e-91,ok
Iztacalco,54,26069.940476190477,27494.354770264614,12139.38261358723,0.7626118203348291,0.4415227313032302,0.9787593380096491,1.8340413738776295e-37,1.0,0.0,1.0,1.5310046379811624e-26,ok
Iztapalapa,89,28571.428571428572,29063.33060485043,14206.933702649523,1.0,0.4888267589083029,0.9669575558887383,2.017937305997175e-53,0.9999999999999999,0.0,1.0,1.2016037640553048e-43,ok
La Magdalena Contreras,270,33210.21220159151,38244.73438794742,21778.508387091715,0.3233249370829295,0.5694511606793919,0.8343995367231738,2.6781117673180478e-71,1.0,0.0,1.0,3.610766748229644e-132,ok
Miguel Hidalgo,1054,44738.28125,49190.77476550808,28741.423996139685,0.8585849060226639,0.5842848406667664,0.9030463379917224,0.0,1.0,0.0,0.9999999999999999,0.0,ok
Milpa Alta,2,7691.666666666667,,318.1980515339464,0.5523417435371646,0.041369194132257384,,,,,,,n insuficiente (<5)
Tlalpan,518,32548.242630385488,36843.25872842835,21082.295461496622,0.3919311241687132,0.5722158188257509,0.8972363647090597,2.5246848025634884e-185,0.9999999999999998,0.0,1.0,1.989806917153796e-253,ok
Tláhuac,22,16123.1884057971,19161.446301454354,9906.015180698094,0.5773137898079344,0.516976381889619,0.830690567507607,1.7022759024973947e-06,1.0,0.0,1.0,1.779358278490115e-21,ok
Venustiano Carranza,39,29166.666666666668,31505.861470169446,13582.827374251272,0.761616411382061,0.43112064677589723,0.9709264676408749,1.422841381719583e-24,0.9999999999999999,3.342329833489285e-291,0.9999999999999999,3.4596548111419723e-19,ok
Xochimilco,77,23750.0,26680.73990365707,21696.685614159906,0.5681953697835378,0.813196548990232,0.6921845997251603,3.1223629372116736e-12,1.0,0.0,1.0,1.0273988019870803e-37,ok
Álvaro Obregón,1072,38712.016574585636,43663.21647656599,22804.681363572156,0.0,0.5222858782245556,0.8995756772095781,0.0,0.9999999999999998,0.0,1.0,0.0,ok
