colonia_oficial,gentrif_map_score_mean,gentrif_local_mean,price_m2_median,marginalidad_mean,score_15min_mean,n_registros,lat_centroide,lon_centroide,cat_mean_vus_200m_col,cat_mean_antiguedad_200m_col,cat_mean_ratio_construccion_200m_col,gentrification_index_alcaldia
15 de agosto,0.7449713574673534,0.4904750873641068,33333.333333333336,1.0,0.3695652173913043,1,19.4846368,-99.1080907,2632.07,38.84710743801653,1.6840187194729868,0.829803447501769
51 legislatura,0.7711183088541288,0.5950628929112082,40000.0,1.0,0.5380434782608695,1,19.48326,-99.0938507,2620.6089622641507,45.01729559748428,2.5390112106725007,0.829803447501769
7 de noviembre,0.7422607708294876,0.4796327408126434,38095.23809523809,3.0,0.8804347826086957,5,19.46227634,-99.1243107,2822.5932689992924,50.65452628024243,2.113717130333881,0.829803447501769
acueducto de guadalupe (rdcial),0.7455300242317987,0.49270975442188764,25306.102040816328,5.0,0.3733277591973244,13,19.522693738461538,-99.14764017692308,3393.3315080370594,40.61962560967916,1.7212030757342878,0.829803447501769
acueducto de guadalupe (u hab),0.7582753257783081,0.5436909606079255,29294.117647058825,3.0,0.3695652173913043,1,19.5253061,-99.1496944,3688.8237620578775,49.23231511254019,2.415432348035712,0.829803447501769
aidee solis cardenas-matias romero (u hab),0.7651013448107451,0.5709950367376733,35020.24291497975,2.0,0.25,1,19.5339758,-99.1471334,1343.6636143308747,33.072708113804005,1.6966997117930787,0.829803447501769
aragon inguaran,0.7346834206699489,0.44932334017448833,25714.285714285714,3.0,0.5163043478260869,1,19.4721754,-99.1074797,2150.4199999999996,50.070028011204485,1.5374258275032302,0.829803447501769
aragon la villa (aragon),0.7512402136409655,0.5155505120585551,38188.97637795276,2.0,0.6498447204968943,7,19.481208014285716,-99.11731617142857,2863.6305429981244,48.85104159813392,1.703787733868758,0.829803447501769
belisario dominguez,0.7468873320561324,0.4981389857192224,27829.143389199256,3.0,0.657608695652174,2,19.462891,-99.109876,2150.4199999999996,48.666666666666664,2.1783830339323513,0.829803447501769
bondojito,0.7412875558073646,0.47573988072415097,29637.9463295631,2.0,0.5923913043478262,2,19.46548765,-99.1110434,2150.4199999999996,30.259414591524685,3.21880565764139,0.829803447501769
c t m aragon (u),0.7605565461921633,0.5528158422633459,34029.850746268654,1.0,0.358695652173913,1,19.4536334,-99.0561139,2423.4399999999996,39.50598086124402,1.6278466174118655,0.829803447501769
